phi,mean_Theta_NM,std_Theta_NM,mean_Theta_sum,std_Theta_sum,mean_Theta_shape,std_Theta_shape,mean_du_rms,std_du_rms,mean_U_overlap,std_U_overlap,mean_max_overlap,std_max_overlap,score_c0,score_c0.1,score_c1,score_c10,score_c100
0.8199999999999998,0.14380872654503593,0.004817065376458099,0.08610757287393495,0.0050597727375050194,0.13586978693022655,0.005194215129799478,0.16986142958844105,0.008659292349549257,3.6536803410617136e-13,1.967710047164176e-13,1.2264179199972247e-07,3.7861523483969614e-08,0.14380872654503593,0.14380872654507246,0.1438087265454013,0.14380872654868962,0.14380872658157273
0.8299999999999998,0.1325033635262826,0.004118517024460527,0.07938993488905306,0.0037134261770502674,0.12663664900808813,0.004740144006514717,0.15598909269088998,0.003981254468522971,5.777966824286999e-09,1.0591126426285415e-08,8.694324000357856e-06,1.3885537992498935e-05,0.1325033635262826,0.13250336410407929,0.13250336930424944,0.13250342130595086,0.13250394132296503
0.8399999999999999,0.11982240167291336,0.0034141043332569848,0.07404833099997707,0.004784088784233906,0.11742464475684447,0.004584360104072706,0.14636758344111336,0.009514880667639775,0.0006108317220777655,0.0007201667949366614,0.003336725502626481,0.003519789342411972,0.11982240167291336,0.11988348484512114,0.12043323339499112,0.125930718893691,0.1809055738806899
0.8499999999999999,0.1133663685672335,0.003682425075750037,0.07178696752290414,0.003048513953714309,0.11358562710828253,0.005529702142801846,0.14318707559131588,0.005624987702136837,0.018778080905325532,0.012888285350390695,0.023777834861582553,0.007467620882398247,0.1133663685672335,0.11524417665776605,0.13214444947255904,0.3011471776204888,1.9911744590997866
0.86,0.10973362883893223,0.00457415304718071,0.06979809638313643,0.004859863027509849,0.11004422359741997,0.004178146052744173,0.13872339995408828,0.009206408333128555,0.066635176917015,0.019319261494496948,0.04408313581102982,0.006618081857980396,0.10973362883893223,0.11639714653063372,0.1763688057559472,0.7760853980090822,6.773251320540432
0.87,0.10367597566461949,0.0038890696707623127,0.06831389608738045,0.0043453480099648065,0.10486104420628595,0.0034250627037632204,0.13515803523544592,0.0070901813912922365,0.16934874437818254,0.024273015665415426,0.07085485509799683,0.008111344723764662,0.10367597566461949,0.12061085010243774,0.27302472004280204,1.7971634194464448,17.038550413482874
0.88,0.10185083881378725,0.002340025587022601,0.06438872704246397,0.0037950365749478015,0.10344396240501648,0.0029094687694882094,0.1303247900740938,0.00659285269381764,0.33691647777613837,0.03077174626561734,0.09833719659124818,0.012638196354434632,0.10185083881378725,0.13554248659140108,0.4387673165899256,3.471015616575171,33.79349861642763
0.89,0.09808402302978891,0.0032159105834032612,0.06567401367249864,0.003861549271144009,0.09834487308290998,0.0032089836566748906,0.1294762315988192,0.0033698898590889554,0.5457206941311339,0.028792440418362344,0.11243823740412406,0.008055064516697442,0.09808402302978891,0.1526560924429023,0.6438047171609228,5.555290964341128,54.67015343614318
0.9,0.09484577677657212,0.005559428846957786,0.06333983541683186,0.004340832744656726,0.09540649358434736,0.006945234356840082,0.12510239045806937,0.009423426893637078,0.7972582511850852,0.0723255835939979,0.14034778570144407,0.012680267814135615,0.09484577677657212,0.17457160189508064,0.8921040279616573,8.067428288627424,79.82067089528509
0.91,0.09513245905850926,0.004414867681008631,0.06515245051256041,0.0035840886128203743,0.09416014731450506,0.00453983954338525,0.12772947109351818,0.006511051294108268,1.2110023299398014,0.07571724910595784,0.16957576181995265,0.01288860737670057,0.09513245905850926,0.2162326920524894,1.3061347889983106,12.205155758456524,121.19536545303865
0.92,0.09179969737752991,0.0033762725742656464,0.06345077467672071,0.004798096594321442,0.09059316063775968,0.0023383221823257833,0.1261356940328035,0.007798807452929234,1.5723913317710552,0.046897448029245434,0.195581108179763,0.024862884567689415,0.09179969737752991,0.24903883055463544,1.664191029148585,15.81571301508808,157.33093287448304
