file,operator,count,mean_Delta_Theta_sum,median_Delta_Theta_sum,success_left,mean_Delta_Theta_shape,median_Delta_Theta_shape,success_down,mean_Delta_Theta_NM,success_diagonal,mean_Delta_du_rms,mean_Delta_U_overlap,mean_Delta_max_overlap
operator_multistart_v17_16_basic_more.csv,bounded_ricci_du010,128,-0.018078447502088403,-0.01808235442226706,1.0,-0.0015020732672137087,-0.0015039752746721785,1.0,-0.005324350160582036,1.0,-0.029696164098872328,0.12004283612654693,0.09923376748803522
operator_multistart_v17_16_basic_more.csv,box_shear_aspect,128,-1.925929944387236e-34,0.0,0.1640625,-7.201591786551269e-07,0.0,0.2734375,-1.1103888722522378e-06,0.09375,0.0,-1.5391065933131761e-06,-1.821434521196222e-05
operator_multistart_v17_16_basic_more.csv,compression_step,128,2.944690003423738e-05,0.0,0.4140625,4.077697516336116e-05,1.3877787807814457e-17,0.3515625,4.473511885229081e-05,0.125,8.276370311382758e-05,-0.0012517026394826827,-0.005615345702687546
operator_multistart_v17_16_basic_more.csv,free_ricci,128,-0.07385207531507143,-0.0742443711852549,1.0,-0.0035826131714961976,-0.003548520624054967,1.0,-0.008457942989590368,1.0,-0.14624691637789647,4.043257736477808,0.540804920535782
operator_multistart_v17_16_basic_more.csv,post_voro_surgery,128,-0.009074042004934401,-0.008869840445534807,1.0,0.028686312472085702,0.02803200683816124,0.0,0.020054280257613535,0.0,-0.01418387365457205,0.0,0.0
operator_multistart_v17_16_basic_more.csv,radius_label_swap,128,-1.8988957015751858e-05,0.0,0.3359375,-4.094473535282985e-06,0.0,0.375,-2.0035714115728635e-05,0.2421875,-5.4433835850866384e-05,-3.5122136186871276e-06,0.0
operator_multistart_v17_16_basic_more.csv,shape_descent,128,1.123620281558678e-05,0.0,0.1640625,-3.5873830880412826e-05,-2.2480903750038417e-05,0.6875,-1.358519852939148e-05,0.1328125,6.091691511332198e-05,4.3295367679995125e-05,-5.2784946685778544e-06
operator_multistart_v17_24_basic_more.csv,bounded_ricci_du010,48,-0.016073020783027064,-0.015960615803130778,1.0,-0.001357287711384049,-0.001344507024220211,1.0,-0.004684970898023099,1.0,-0.02642607317235156,0.21617949731468208,0.09923942140216725
operator_multistart_v17_24_basic_more.csv,box_shear_aspect,48,2.3129646346357427e-18,0.0,0.020833333333333332,-2.1580360941355722e-07,0.0,0.25,-1.1356009747340068e-07,0.020833333333333332,0.0,-5.042680936310974e-07,-5.70671853328264e-07
operator_multistart_v17_24_basic_more.csv,compression_step,48,-1.0703028795676419e-05,-6.938893903907228e-18,0.5,3.774393524464918e-05,6.245004513516506e-17,0.3125,6.215375893814524e-05,0.125,2.8984812962657675e-05,-0.0014969665543975563,-0.004537796026060932
operator_multistart_v17_24_basic_more.csv,free_ricci,48,-0.07466207489577521,-0.07495892209126973,1.0,-0.0036719337016923627,-0.003590527568100181,1.0,-0.008151303139227984,1.0,-0.14817456719457286,9.321264159097899,0.5987806046613439
operator_multistart_v17_24_basic_more.csv,post_voro_surgery,48,-0.007542261087811641,-0.007870540464467543,1.0,0.02095499284330939,0.020967361978332752,0.0,0.014205675848955745,0.0,-0.011418730355021599,0.0,0.0
operator_multistart_v17_24_basic_more.csv,radius_label_swap,48,8.76606383684066e-07,0.0,0.3541666666666667,-1.7509478167917923e-06,0.0,0.4166666666666667,-4.1548844538890255e-06,0.25,-1.4635915296169408e-05,1.3161076774633192e-06,4.278065506104397e-05
operator_multistart_v17_24_basic_more.csv,shape_descent,48,4.9071679901734515e-06,0.0,0.14583333333333334,-2.2200042840303063e-05,-7.2720633714565275e-06,0.7291666666666666,-6.63651874885605e-06,0.125,3.6770195319518285e-05,5.473993480016159e-05,2.9394446878448313e-06
operator_multistart_v17_16_basic.csv,bounded_ricci_du010,96,-0.017866286130491373,-0.017963484567278806,1.0,-0.0014673403647203678,-0.0014934532564707184,1.0,-0.0051484429668462025,1.0,-0.02944738802626244,0.11787274742504435,0.09739445727503859
operator_multistart_v17_16_basic.csv,box_shear_aspect,96,-1.2539383023408774e-06,0.0,0.07291666666666667,-7.077985409425219e-06,0.0,0.23958333333333334,-3.565140746624937e-06,0.052083333333333336,1.2228886651247049e-05,-1.8177866895363032e-06,-1.15695694846892e-05
operator_multistart_v17_16_basic.csv,compression_step,96,-3.316698908477833e-05,0.0,0.4479166666666667,5.644235522546248e-05,1.3877787807814457e-17,0.375,5.273867637744098e-05,0.14583333333333334,-0.00010285048520145363,-0.0011437062361839608,-0.005332118636322668
operator_multistart_v17_16_basic.csv,free_ricci,96,-0.07381958914484027,-0.07392543568654654,1.0,-0.0035425194149990963,-0.0033663595111625075,1.0,-0.008101339684661623,1.0,-0.1467634451460426,4.079578994135347,0.5421261694494143
operator_multistart_v17_16_basic.csv,post_voro_surgery,96,-0.008996905665112884,-0.009197889904833681,0.9895833333333334,0.02952130588990416,0.02986654151552027,0.0,0.020910331080161926,0.0,-0.01417263987401053,0.0,0.0
operator_multistart_v17_16_basic.csv,radius_label_swap,96,-8.89212129311726e-06,0.0,0.3333333333333333,-1.9909916960577736e-06,0.0,0.3229166666666667,-8.152999165443655e-06,0.21875,-1.3406158871249728e-05,2.460747826690343e-06,9.59959236528779e-06
operator_multistart_v17_16_basic.csv,shape_descent,96,-9.856807009454993e-06,0.0,0.17708333333333334,-1.5034043307936949e-05,-1.641673553285511e-05,0.59375,-9.375405103095001e-06,0.125,9.442362323903936e-06,4.010026456117752e-05,7.871674496673364e-07
operator_multistart_v17_16_full.csv,bounded_ricci_du010,64,-0.01863153249891568,-0.018362212041951508,1.0,-0.0015354892444516609,-0.0015252586582387845,1.0,-0.00545161583192184,1.0,-0.0304614738290022,0.12491038304127491,0.10200877956476329
operator_multistart_v17_16_full.csv,bounded_ricci_du150,64,-0.0277710646016847,-0.02731860201597263,1.0,-0.0021471853577756305,-0.0021521433086916925,1.0,-0.007156301811098542,1.0,-0.045238505713373046,0.2933290974614213,0.15628800860106776
operator_multistart_v17_16_full.csv,bounded_ricci_du250,64,-0.04533005416276599,-0.04524506712580835,1.0,-0.0030493534192481382,-0.003094719410529606,1.0,-0.008979275607315547,1.0,-0.07354241277936258,0.8907199889990394,0.2674590176331476
operator_multistart_v17_16_full.csv,bounded_ricci_du50,64,-0.009356323196121948,-0.009305392095115408,1.0,-0.0008186587132007863,-0.0008204212496475891,1.0,-0.0031449347402373253,1.0,-0.015368377857882025,0.03024261917388854,0.04864995278817687
operator_multistart_v17_16_full.csv,box_shear_aspect,64,-8.673617379884037e-19,0.0,0.09375,-4.5653392593278733e-07,0.0,0.25,-6.202318842578932e-07,0.078125,0.0,-1.3996690725379317e-06,-2.7459004000515708e-06
operator_multistart_v17_16_full.csv,combined_cycle,64,-0.01864947935567197,-0.018368020756438737,1.0,-0.0015540360328522177,-0.0015632818707298213,1.0,-0.005500978548334463,1.0,-0.030510221669154576,0.12458737176897572,0.10204609458619192
operator_multistart_v17_16_full.csv,compression_step,64,1.5273347037216565e-05,0.0,0.328125,6.801517589917418e-05,0.0,0.484375,4.120419501351335e-05,0.109375,-7.884445303486982e-05,-0.0007953774027369253,-0.004133351201554281
operator_multistart_v17_16_full.csv,fixed_topology_shape_descent,64,8.67361737988404e-19,0.0,0.109375,-1.040300230498517e-05,-1.2641506867513974e-05,0.546875,-1.5295973085561153e-05,0.078125,0.0,2.721985918838341e-05,6.6284067804373015e-06
operator_multistart_v17_16_full.csv,free_ricci,64,-0.07351763853102955,-0.0733051878779459,1.0,-0.0035854670617450008,-0.0034617247482420024,1.0,-0.008510986479242297,1.0,-0.14482294334927226,3.8772576590898056,0.5390242185189107
operator_multistart_v17_16_full.csv,post_voro_surgery,64,-0.0086256389672244,-0.008915775700450178,1.0,0.02865463472335479,0.027582776333647287,0.0,0.01989246252913148,0.0,-0.013273395068537495,0.0,0.0
operator_multistart_v17_16_full.csv,radius_label_swap,64,-3.269158834367527e-05,0.0,0.34375,-1.0989801196502249e-05,0.0,0.421875,-3.064525425183198e-05,0.328125,-5.5843511096117116e-05,-1.9098842746859028e-07,1.036604364181709e-05
operator_multistart_v17_16_full.csv,regularized_ricci_lsort10,64,-0.07227517532665745,-0.07226970991748669,1.0,-0.0035999348448369764,-0.0035180218979436943,1.0,-0.008557748162077959,1.0,-0.13217169763710498,3.4268781924228615,0.5051613655541242
operator_multistart_v17_16_full.csv,regularized_ricci_lsort100,64,-0.07187075417613854,-0.0718868723516618,1.0,-0.003605558099357996,-0.003521361744318885,1.0,-0.008570497288625117,1.0,-0.12897022054547275,3.314953668641408,0.4960160889425711
operator_multistart_v17_16_full.csv,regularized_ricci_lsort1000,64,-0.06844943707170097,-0.0683556896478372,1.0,-0.0036130017619141193,-0.0035362089887422746,1.0,-0.008777036282555021,1.0,-0.11590575857551638,2.671346610067272,0.4473407466952556
operator_multistart_v17_16_full.csv,shape_descent,64,1.3518688575995823e-05,0.0,0.09375,-1.5491960796792026e-05,-1.2641506867513974e-05,0.546875,-1.6521601464860366e-05,0.0625,3.660026002042481e-07,2.8240573328220762e-05,6.6284067804373015e-06
operator_multistart_v17_24_basic.csv,bounded_ricci_du010,32,-0.017298847870947945,-0.01722184217267861,1.0,-0.001457894930078531,-0.001455534822751195,1.0,-0.005023552558722006,1.0,-0.02839599100859062,0.24197811649840906,0.10486866124116676
operator_multistart_v17_24_basic.csv,box_shear_aspect,32,3.469446951953614e-18,0.0,0.0,-5.30581296316092e-08,0.0,0.09375,-1.1762801082563362e-07,0.0,0.0,-1.6765723416350677e-07,-2.266676902097642e-06
operator_multistart_v17_24_basic.csv,compression_step,32,0.00017143966334147312,4.163336342344337e-17,0.34375,-1.8806175831678328e-05,5.551115123125784e-17,0.46875,5.3231420004088304e-05,0.125,0.00019852435090234044,-0.000834359152716057,-0.0033354436062668774
operator_multistart_v17_24_basic.csv,free_ricci,32,-0.074581246153635,-0.07446057752682073,1.0,-0.003528786458072515,-0.003584918909668215,1.0,-0.007998317529428915,1.0,-0.14747728679545297,9.038742722627333,0.5681482023073907
operator_multistart_v17_24_basic.csv,post_voro_surgery,32,-0.007805938652780195,-0.00797386652743027,1.0,0.02175530721638008,0.021947410055029808,0.0,0.014859268946862233,0.0,-0.010585177852338716,0.0,0.0
operator_multistart_v17_24_basic.csv,radius_label_swap,32,-1.2780448561529928e-05,0.0,0.25,-3.1119975936544707e-06,0.0,0.25,-6.256936553678417e-06,0.125,-3.86447473249979e-05,1.0422714516001453e-06,6.464988927541715e-06
operator_multistart_v17_24_basic.csv,shape_descent,32,1.2368323515154349e-05,0.0,0.125,-1.6907712495220842e-05,-1.1220806616099588e-05,0.75,-9.834144024003892e-06,0.0625,-1.1258930302457565e-05,2.4330483643016534e-05,7.92594705273375e-06
