run_name,n_files,n_cycles,n_accepted,F_total_initial,F_total_final,Theta_NM_initial,Theta_NM_final,Theta_sum_initial,Theta_sum_final,Theta_shape_initial,Theta_shape_final,du_rms_initial,du_rms_final,U_overlap_initial,U_overlap_final,radius_ratio_initial,radius_ratio_final,has_operator_response_matrix,orm_total_rows,orm_n_shape,orm_n_ricci,orm_n_box,orm_n_surgery_microquench,n_block_accepted,n_block_total,block_acceptance_rate,orm_shape_mean_Delta_Theta_sum,orm_ricci_mean_Delta_Theta_sum,orm_box_mean_Delta_Theta_sum,orm_surgery_microquench_mean_Delta_Theta_sum,orm_shape_mean_Delta_Theta_shape,orm_ricci_mean_Delta_Theta_shape,orm_box_mean_Delta_Theta_shape,orm_surgery_microquench_mean_Delta_Theta_shape,orm_shape_mean_Delta_Theta_NM,orm_ricci_mean_Delta_Theta_NM,orm_box_mean_Delta_Theta_NM,orm_surgery_microquench_mean_Delta_Theta_NM,orm_shape_mean_Delta_du_rms,orm_ricci_mean_Delta_du_rms,orm_box_mean_Delta_du_rms,orm_surgery_microquench_mean_Delta_du_rms,orm_shape_mean_Delta_U_overlap,orm_ricci_mean_Delta_U_overlap,orm_box_mean_Delta_U_overlap,orm_surgery_microquench_mean_Delta_U_overlap,has_surgery_stats,n_surgery_accepted,n_surgery_total,has_trajectory,classification,gamma,B_rms_initial,B_rms_final,U_initial,U_final,D_net,zigzag_index,diagonal_improvement,F_total,Theta_NM,Theta_sum,Theta_shape,Theta_face,Theta_ring,B_rms,B_max,S_pred,du_rms,du_max,rms_K_lin,max_K_lin,U_overlap,max_overlap,radius_ratio,polydispersity_delta,degree_radius_corr,valid_torus,lc_D_net,lc_total_path_length,lc_net_displacement,lc_zigzag_index,lc_sign_reversals_sum,lc_sign_reversals_shape
v18_poly_gamma_0,3,166,0,0.03222870430498215,0.03222870430498215,0.11723612407545896,0.11723612407545896,0.06659123498847247,0.06659123498847247,0.11753862407793556,0.11753862407793556,0.13167070095550495,0.13167070095550495,0.0003273108548473683,0.0003273108548473683,3.960770570907699,3.960770570907699,True,412,180,180,35,17,411,411,1.0,0.0,-0.014437017100917406,0.0,0.0006596436546515289,-0.0028465288654917352,-0.0011408828496164425,0.0,-0.0009076548705715532,-0.0016219393197652173,-0.004650493805351541,0.0,-0.0014594529184388527,0.0,-0.02390146081630993,0.0,0.002365368024670536,0.0030771013110264885,0.05969310681743401,0.0,-0.019111516389154,True,18,18,True,cycle_rejected_blocks_accepted,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v18_poly_gamma_0.02,7,200,0,0.03222870430498215,0.03222870430498215,0.11723612407545897,0.11723612407545897,0.06659123498847247,0.06659123498847247,0.11753862407793556,0.11753862407793556,0.13167070095550495,0.13167070095550495,0.0003273108548473683,0.0003273108548473683,3.960770570907699,3.960770570907699,True,460,200,200,40,20,460,460,1.0,0.0,-0.014437017100917446,0.0,0.0006596436546515566,-0.002901083750210517,-0.0011425214393591535,0.0,-0.0009640420723656255,-0.0016509345481159343,-0.0046689645031002674,0.0,-0.0015048653913340704,0.0,-0.023901460816309932,0.0,0.002365368024670536,0.003129977607114068,0.05903600198383071,0.0,-0.019392939199660404,True,20,20,True,cycle_rejected_blocks_accepted,0.02,0.4884514845031786,0.4884514845031786,0.0003273108548473683,0.0003273108548473683,,,0.0,0.03222870430498215,0.11723612407545897,0.06659123498847247,0.11753862407793556,0.1172361240754587,0.11723612407545897,0.4884514845031786,1.8962043323577022,103.60791231234171,0.13167070095550495,0.5226920455846832,0.000960953283674035,0.004028071187739207,0.0003273108548473683,0.0034967569364150464,3.9607705709076995,0.24607462277472664,0.8159460535087544,1.0,,0.0,0.0,,0.0,0.0
v18_poly_gamma_0.05,7,200,0,0.03222870430498215,0.03222870430498215,0.11723612407545897,0.11723612407545897,0.06659123498847247,0.06659123498847247,0.11753862407793556,0.11753862407793556,0.13167070095550495,0.13167070095550495,0.0003273108548473683,0.0003273108548473683,3.960770570907699,3.960770570907699,True,460,200,200,40,20,460,460,1.0,-1.3877787807814457e-17,-0.014437017100917408,0.0,0.000659643654651501,-0.002939406119726082,-0.0011442015783961063,0.0,-0.001052034873079838,-0.0016700926620739215,-0.004683116755985095,0.0,-0.0015764646586302472,0.0,-0.023901460816309932,0.0,0.002365368024670536,0.003131645087842646,0.05844620894712104,0.0,-0.01989253420215032,True,20,20,True,cycle_rejected_blocks_accepted,0.05,0.4884514845031786,0.4884514845031786,0.0003273108548473683,0.0003273108548473683,,,0.0,0.03222870430498215,0.11723612407545897,0.06659123498847247,0.11753862407793556,0.1172361240754587,0.11723612407545897,0.4884514845031786,1.8962043323577022,103.60791231234171,0.13167070095550495,0.5226920455846832,0.000960953283674035,0.004028071187739207,0.0003273108548473683,0.0034967569364150464,3.9607705709076995,0.24607462277472664,0.8159460535087544,1.0,,0.0,0.0,,0.0,0.0
v18_poly_gamma_0.10,7,200,0,0.03222870430498215,0.03222870430498215,0.11723612407545897,0.11723612407545897,0.06659123498847247,0.06659123498847247,0.11753862407793556,0.11753862407793556,0.13167070095550495,0.13167070095550495,0.0003273108548473683,0.0003273108548473683,3.960770570907699,3.960770570907699,True,460,200,200,40,20,460,460,1.0,-2.775557561562892e-17,-0.014437017100917429,0.0,0.0006596436546515427,-0.003008242362919203,-0.0011469853759777243,0.0,-0.001197839800297376,-0.0017037489154365787,-0.0047087012014926655,0.0,-0.0016944712888423696,0.0,-0.023901460816309932,0.0,0.002365368024670536,0.0031604013182144407,0.057446113522698336,0.0,-0.020622698949431546,True,20,20,True,cycle_rejected_blocks_accepted,0.1,0.4884514845031786,0.4884514845031786,0.0003273108548473683,0.0003273108548473683,,,0.0,0.03222870430498215,0.11723612407545897,0.06659123498847247,0.11753862407793556,0.1172361240754587,0.11723612407545897,0.4884514845031786,1.8962043323577022,103.60791231234171,0.13167070095550495,0.5226920455846832,0.000960953283674035,0.004028071187739207,0.0003273108548473683,0.0034967569364150464,3.9607705709076995,0.24607462277472664,0.8159460535087544,1.0,,0.0,0.0,,0.0,0.0
v18_poly_gamma_0.25,7,200,0,0.03222870430498215,0.03222870430498215,0.11723612407545897,0.11723612407545897,0.06659123498847247,0.06659123498847247,0.11753862407793556,0.11753862407793556,0.13167070095550495,0.13167070095550495,0.0003273108548473683,0.0003273108548473683,3.960770570907699,3.960770570907699,True,460,200,200,40,20,460,460,1.0,0.0,-0.014437017100917408,0.0,0.0006596436546515289,-0.0031252057954221923,-0.00115291709106341,0.0,-0.0016425542523126053,-0.0017524681775150652,-0.0047590048810689095,0.0,-0.002050818806457452,0.0,-0.023901460816309932,0.0,0.002365368024670536,0.0031865884788096206,0.05541761589254689,0.0,-0.02250755288362604,True,20,20,True,cycle_rejected_blocks_accepted,0.25,0.4884514845031786,0.4884514845031786,0.0003273108548473683,0.0003273108548473683,,,0.0,0.03222870430498215,0.11723612407545897,0.06659123498847247,0.11753862407793556,0.1172361240754587,0.11723612407545897,0.4884514845031786,1.8962043323577022,103.60791231234171,0.13167070095550495,0.5226920455846832,0.000960953283674035,0.004028071187739207,0.0003273108548473683,0.0034967569364150464,3.9607705709076995,0.24607462277472664,0.8159460535087544,1.0,,0.0,0.0,,0.0,0.0
v18_poly_gamma_0.50,7,200,0,0.03222870430498215,0.03222870430498215,0.11723612407545897,0.11723612407545897,0.06659123498847247,0.06659123498847247,0.11753862407793556,0.11753862407793556,0.13167070095550495,0.13167070095550495,0.0003273108548473683,0.0003273108548473683,3.960770570907699,3.960770570907699,True,460,200,200,40,20,460,460,1.0,0.0,-0.014437017100917436,0.0,0.0006596436546515427,-0.0031413124475924425,-0.00115656065335637,0.0,-0.002391591424319231,-0.0017323431198399547,-0.0047835757249865,0.0,-0.002632656684668111,0.0,-0.023901460816309932,0.0,0.002365368024670536,0.003156789722502232,0.054072993298427935,0.0,-0.024873898757047864,True,20,20,True,cycle_rejected_blocks_accepted,0.5,0.4884514845031786,0.4884514845031786,0.0003273108548473683,0.0003273108548473683,,,0.0,0.03222870430498215,0.11723612407545897,0.06659123498847247,0.11753862407793556,0.1172361240754587,0.11723612407545897,0.4884514845031786,1.8962043323577022,103.60791231234171,0.13167070095550495,0.5226920455846832,0.000960953283674035,0.004028071187739207,0.0003273108548473683,0.0034967569364150464,3.9607705709076995,0.24607462277472664,0.8159460535087544,1.0,,0.0,0.0,,0.0,0.0
v18_poly_gamma_1.0,7,200,0,0.03222870430498215,0.03222870430498215,0.11723612407545897,0.11723612407545897,0.06659123498847247,0.06659123498847247,0.11753862407793556,0.11753862407793556,0.13167070095550495,0.13167070095550495,0.0003273108548473683,0.0003273108548473683,3.960770570907699,3.960770570907699,True,460,200,200,40,20,460,460,1.0,-2.775557561562892e-17,-0.014437017100917382,0.0,0.000659643654651515,-0.0030451018983004424,-0.001161444572869319,0.0,-0.003874002011739568,-0.001634574181295853,-0.004777516987028579,0.0,-0.003732944433133197,0.0,-0.023901460816309932,0.0,0.002365368024670536,0.003233978028280351,0.05343261314067917,0.0,-0.02701952578407174,True,20,20,True,cycle_rejected_blocks_accepted,1.0,0.4884514845031786,0.4884514845031786,0.0003273108548473683,0.0003273108548473683,,,0.0,0.03222870430498215,0.11723612407545897,0.06659123498847247,0.11753862407793556,0.1172361240754587,0.11723612407545897,0.4884514845031786,1.8962043323577022,103.60791231234171,0.13167070095550495,0.5226920455846832,0.000960953283674035,0.004028071187739207,0.0003273108548473683,0.0034967569364150464,3.9607705709076995,0.24607462277472664,0.8159460535087544,1.0,,0.0,0.0,,0.0,0.0
