run_name,n_files,Theta_sum_initial,Theta_sum_final,Theta_shape_initial,Theta_shape_final,Theta_NM_initial,Theta_NM_final,B_rms_initial,B_rms_final,du_rms_initial,du_rms_final,U_initial,U_final,D_net,zigzag_index,diagonal_improvement,F_total,Theta_NM,Theta_sum,Theta_shape,Theta_face,Theta_ring,B_rms,B_max,S_pred,du_rms,du_max,rms_K_lin,max_K_lin,U_overlap,max_overlap,radius_ratio,polydispersity_delta,degree_radius_corr,valid_torus,lc_D_net,lc_total_path_length,lc_net_displacement,lc_zigzag_index,lc_sign_reversals_sum,lc_sign_reversals_shape,n_cycles,n_accepted,F_total_initial,F_total_final,U_overlap_initial,U_overlap_final,radius_ratio_initial,radius_ratio_final,has_operator_response_matrix,orm_total_rows,orm_n_shape,orm_n_ricci,orm_n_box,orm_n_surgery_microquench,n_block_accepted,n_block_total,block_acceptance_rate,orm_shape_mean_Delta_Theta_sum,orm_ricci_mean_Delta_Theta_sum,orm_box_mean_Delta_Theta_sum,orm_surgery_microquench_mean_Delta_Theta_sum,orm_shape_mean_Delta_Theta_shape,orm_ricci_mean_Delta_Theta_shape,orm_box_mean_Delta_Theta_shape,orm_surgery_microquench_mean_Delta_Theta_shape,orm_shape_mean_Delta_Theta_NM,orm_ricci_mean_Delta_Theta_NM,orm_box_mean_Delta_Theta_NM,orm_surgery_microquench_mean_Delta_Theta_NM,orm_shape_mean_Delta_du_rms,orm_ricci_mean_Delta_du_rms,orm_box_mean_Delta_du_rms,orm_surgery_microquench_mean_Delta_du_rms,orm_shape_mean_Delta_U_overlap,orm_ricci_mean_Delta_U_overlap,orm_box_mean_Delta_U_overlap,orm_surgery_microquench_mean_Delta_U_overlap,has_surgery_stats,n_surgery_accepted,n_surgery_total,has_trajectory,classification,weight_scheme
v18_weight_shape_biased,7,0.06659123498847247,0.06659123498847247,0.11753862407793556,0.11753862407793556,0.11723612407545897,0.11723612407545897,0.4884514845031786,0.4884514845031786,0.13167070095550495,0.13167070095550495,0.0003273108548473683,0.0003273108548473683,,,0.0,0.07145749246673991,0.11723612407545897,0.06659123498847247,0.11753862407793556,0.1172361240754587,0.11723612407545897,0.4884514845031786,1.8962043323577022,103.60791231234171,0.13167070095550495,0.5226920455846832,0.000960953283674035,0.004028071187739207,0.0003273108548473683,0.0034967569364150464,3.9607705709076995,0.24607462277472664,0.8159460535087544,1.0,,0.0,0.0,,0.0,0.0,200,0,0.07145749246673991,0.07145749246673991,0.0003273108548473683,0.0003273108548473683,3.960770570907699,3.960770570907699,True,460,200,200,40,20,460,460,1.0,-1.3877787807814457e-17,-0.021430750355366034,0.0,0.0016554748437642847,-0.002939406119726082,-0.0015912598692362778,0.0,-4.627497583371831e-05,-0.0016700926620739215,-0.006055739157203532,0.0,-0.00011488558151884207,0.0,-0.03530766729155926,0.0,0.004140833623708012,0.003131645087842646,0.1561752428062335,0.0,-0.03938416313935568,True,20,20,True,cycle_rejected_blocks_accepted,shape_biased
v18_weight_balanced,7,0.06659123498847247,0.06659123498847247,0.11753862407793556,0.11753862407793556,0.11723612407545897,0.11723612407545897,0.4884514845031786,0.4884514845031786,0.13167070095550495,0.13167070095550495,0.0003273108548473683,0.0003273108548473683,,,0.0,0.036826752309695794,0.11723612407545897,0.06659123498847247,0.11753862407793556,0.1172361240754587,0.11723612407545897,0.4884514845031786,1.8962043323577022,103.60791231234171,0.13167070095550495,0.5226920455846832,0.000960953283674035,0.004028071187739207,0.0003273108548473683,0.0034967569364150464,3.9607705709076995,0.24607462277472664,0.8159460535087544,1.0,,0.0,0.0,,0.0,0.0,200,0,0.036826752309695794,0.036826752309695794,0.0003273108548473683,0.0003273108548473683,3.960770570907699,3.960770570907699,True,460,200,200,40,20,460,460,1.0,-1.3877787807814457e-17,-0.021430750355366034,0.0,0.0016554748437642847,-0.002939406119726082,-0.0015912598692362778,0.0,-4.627497583371831e-05,-0.0016700926620739215,-0.006055739157203532,0.0,-0.00011488558151884207,0.0,-0.03530766729155926,0.0,0.004140833623708012,0.003131645087842646,0.1561752428062335,0.0,-0.03938416313935568,True,20,20,True,cycle_rejected_blocks_accepted,balanced
v18_weight_weak_overlap,7,0.06659123498847247,0.0451604846175458,0.11753862407793556,0.0333353965972767,0.11723612407545897,0.0555656298662438,0.4884514845031786,0.32940447549209795,0.13167070095550495,0.09636303364114708,0.0003273108548473683,0.3337368782492452,0.8346415019092133,0.16535849809078673,1.0,0.020948810615949307,0.0555656298662438,0.0451604846175458,0.0333353965972767,0.0555656298662438,0.0555656298662438,0.32940447549209795,1.3361899194579896,55.08708794588583,0.09636303364114708,0.34664081582905765,0.0009067595495743908,0.0037922064145878287,0.3337368782492452,0.18100297664273302,3.999516376628668,0.24242270891946527,0.8773635520526305,1.0,0.8346415019092133,0.10410173914816707,0.08688763191398731,0.16535849809078673,144.0,2.0,200,186,0.03556277649262146,0.020948810615949307,0.15963419874892348,0.3337368782492452,3.999516376581549,3.999516376628668,True,460,200,200,40,20,460,460,1.0,-2.012279232133096e-18,-0.00010715375185463315,4.336808689942018e-18,0.0,-0.00043119173020008354,-7.956299353555699e-06,-2.4094717153929324e-05,0.0,-0.0002893337548993974,-3.0278695820018798e-05,-1.852075481997787e-05,0.0,0.0,-0.0001765383365668924,-2.4484927974022242e-14,0.0,0.001083708931023709,0.0007808762141319858,-3.215307216265992e-05,0.0,True,0,20,True,diagonal_improved,weak_overlap
