cycle,F_total,Theta_NM,Theta_sum,Theta_shape,B_rms,S_pred,du_rms,du_max,U_overlap,max_overlap,radius_ratio,Lx,Ly,shear,accepted_cycle,ran_box,ran_surgery
1,3.28486772981290490e-02,1.14502707017444638e-01,6.22028351559964290e-02,1.15537916462507148e-01,4.55712478159256806e-01,9.20184317668839640e+01,1.24347169136965183e-01,4.85912549878248390e-01,4.56292863138083992e-03,1.86425444280109431e-02,3.96568603587887480e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,1,0,0
2,3.06699592227524312e-02,1.11855813384069538e-01,6.22028351559964013e-02,1.11852287051553506e-01,4.55712478159256806e-01,9.20184317668839640e+01,1.24347169136965183e-01,4.85912549878248390e-01,3.55779656796423706e-03,2.37315862630071983e-02,3.96568603587887480e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,1,0,0
3,3.07491158434111747e-02,1.11115570972172506e-01,6.22028351559964429e-02,1.10660413288381901e-01,4.55712478159256806e-01,9.20184317668839640e+01,1.24347169136965183e-01,4.85912549878248390e-01,4.77693800731225551e-03,2.83340444618922493e-02,3.96568603587887480e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,1,0,0
4,3.09989003698384370e-02,1.10625628236993456e-01,6.22028351559964290e-02,1.09834961737268602e-01,4.55712478159256806e-01,9.20184317668839640e+01,1.24347169136965183e-01,4.85912549878248390e-01,6.00454005747971288e-03,3.14841799075313844e-02,3.96568603587887480e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,1,0,0
5,3.13279616826832863e-02,1.10222673321283146e-01,6.22028351559964152e-02,1.09142195183172974e-01,4.55712478159256806e-01,9.20184317668839640e+01,1.24347169136965183e-01,4.85912549878248390e-01,7.26946288487115202e-03,3.40946977585474542e-02,3.96568603587887480e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,1,1,0
6,3.16781158350197267e-02,1.09901206888554051e-01,6.22028351559964221e-02,1.08579149564823493e-01,4.55712478159256806e-01,9.20184317668839640e+01,1.24347169136965183e-01,4.85912549878248390e-01,8.46011938627009435e-03,3.61932312344037665e-02,3.96568603587887480e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,1,0,0
7,3.20437504435253512e-02,1.09624865672385982e-01,6.22028351559964290e-02,1.08089921406118589e-01,4.55712478159256806e-01,9.20184317668839640e+01,1.24347169136965183e-01,4.85912549878248390e-01,9.61539104583898976e-03,3.80009947620332245e-02,3.96568603587887480e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,1,0,0
8,3.24066936369392308e-02,1.09387920743536482e-01,6.22028351559964013e-02,1.07665780583191539e-01,4.55712478159256806e-01,9.20184317668839640e+01,1.24347169136965183e-01,4.85912549878248390e-01,1.07073206366385659e-02,3.95554606661412400e-02,3.96568603587887480e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,1,0,0
9,3.27894061867420802e-02,1.09163724622165739e-01,6.22028351559964152e-02,1.07262780047658726e-01,4.55712478159256806e-01,9.20184317668839640e+01,1.24347169136965183e-01,4.85912549878248390e-01,1.18192110363863779e-02,4.10193142983650283e-02,3.96568603587887480e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,1,0,0
10,3.31872638846222104e-02,1.08951005617375876e-01,6.22028351559963874e-02,1.06880677541404553e-01,4.55712478159256806e-01,9.20184317668839640e+01,1.24347169136965183e-01,4.85912549878248390e-01,1.29422254395174970e-02,4.23989911384794471e-02,3.96568603587887480e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,1,1,1
11,3.31872638846222104e-02,1.08951005617375876e-01,6.22028351559963874e-02,1.06880677541404553e-01,4.55712478159256806e-01,9.20184317668839640e+01,1.24347169136965183e-01,4.85912549878248390e-01,1.29422254395174970e-02,4.23989911384794471e-02,3.96568603587887480e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,0,0,0
12,3.35957919749841905e-02,1.08751287036048597e-01,6.22028351559964082e-02,1.06517428808914294e-01,4.55712478159256806e-01,9.20184317668839640e+01,1.24347169136965183e-01,4.85912549878248390e-01,1.40693479868317633e-02,4.40191508937730624e-02,3.96568603587887480e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,1,0,0
13,3.40114901969386235e-02,1.08562282464310544e-01,6.22028351559964152e-02,1.06171652688709095e-01,4.55712478159256806e-01,9.20184317668839640e+01,1.24347169136965183e-01,4.85912549878248390e-01,1.51949156523816502e-02,4.56791335105803942e-02,3.96568603587887480e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,1,0,0
14,3.44507543672922592e-02,1.08375463482398404e-01,6.22028351559964152e-02,1.05828843940797029e-01,4.55712478159256806e-01,9.20184317668839640e+01,1.24347169136965183e-01,4.85912549878248390e-01,1.63641464923140988e-02,4.73158224945067207e-02,3.96568603587887480e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,1,0,0
15,3.48928241376694620e-02,1.08198329330370366e-01,6.22028351559964290e-02,1.05503122927703197e-01,4.55712478159256806e-01,9.20184317668839640e+01,1.24347169136965183e-01,4.85912549878248390e-01,1.75236270824585816e-02,4.88617972204465900e-02,3.96568603587887480e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,1,1,0
16,3.53354127741027924e-02,1.08029854649993665e-01,6.22028351559963805e-02,1.05193829638360506e-01,4.55712478159256806e-01,9.20184317668839640e+01,1.24347169136965183e-01,4.85912549878248390e-01,1.86694729693798050e-02,5.03232816683756301e-02,3.96568603587887480e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,1,0,0
17,3.57958926960504770e-02,1.07862624376602476e-01,6.22028351559964013e-02,1.04886789723521903e-01,4.55712478159256806e-01,9.20184317668839640e+01,1.24347169136965183e-01,4.85912549878248390e-01,1.98484453551876286e-02,5.17659327219603949e-02,3.96568603587887480e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,1,0,0
18,3.57958926960504770e-02,1.07862624376602476e-01,6.22028351559964013e-02,1.04886789723521903e-01,4.55712478159256806e-01,9.20184317668839640e+01,1.24347169136965183e-01,4.85912549878248390e-01,1.98484453551876286e-02,5.17659327219603949e-02,3.96568603587887480e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,0,0,0
19,3.62532699830937846e-02,1.07703970113626604e-01,6.22028351559964221e-02,1.04594301242646293e-01,4.55712478159256806e-01,9.20184317668839640e+01,1.24347169136965183e-01,4.85912549878248390e-01,2.10082831535496825e-02,5.31308306004969477e-02,3.96568603587887480e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,1,0,0
