cycle,block_name,Delta_Theta_sum,Delta_Theta_shape,Delta_Theta_NM,Delta_B_rms,Delta_du_rms,Delta_U_overlap,accepted
1,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
1,ricci,-4.38839983247604065e-03,-3.81867289981532854e-04,-1.78681268812604099e-03,-3.27390063439217949e-02,-7.32353181853977186e-03,3.14518804353905272e-03,1
2,shape,-2.77555756156289135e-17,-3.68562941095364194e-03,-2.64689363337509975e-03,0.00000000000000000e+00,0.00000000000000000e+00,-1.00513206341660286e-03,1
2,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
3,shape,4.16333634234433703e-17,-1.19187376317160532e-03,-7.40242411897032437e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.21914143934801844e-03,1
3,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
4,shape,-1.38777878078144568e-17,-8.25451551113298709e-04,-4.89942735179049738e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.22760205016745737e-03,1
4,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
5,shape,-1.38777878078144568e-17,-6.92766554095627929e-04,-4.02954915710310169e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.26492282739143914e-03,1
5,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
5,box,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
6,shape,6.93889390390722838e-18,-5.63045618349480859e-04,-3.21466432729095031e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.19065650139894234e-03,1
6,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
7,shape,6.93889390390722838e-18,-4.89228158704904659e-04,-2.76341216168068948e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.15527165956889541e-03,1
7,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
