attempt,accepted,Theta_sum_old,Theta_shape_old,Theta_sum_after_instant,Theta_shape_after_instant,Theta_sum_after_quench,Theta_shape_after_quench,F_old,F_after_quench,U_old,U_after_quench,flipped_edge_i,flipped_edge_j
0,0,6.22028351559963874e-02,1.06880677541404553e-01,6.17257151342294128e-02,1.07459175862677558e-01,6.17257151342294405e-02,1.07049590897149799e-01,3.31872638846222104e-02,3.38140371440825149e-02,1.29422254395174970e-02,1.41694868255124000e-02,160,219
0,0,6.22028351559964290e-02,1.04304169086004830e-01,6.17257151342294544e-02,1.04949681518947763e-01,6.17257151342294752e-02,1.04635338171056483e-01,3.67263224882468792e-02,3.74452126865851345e-02,2.21968208187180785e-02,2.34760815788207788e-02,160,219
0,0,6.22028351559964290e-02,1.02735985004195507e-01,6.17257151342294405e-02,1.03423591575528578e-01,6.17257151342294405e-02,1.03143633354677314e-01,3.96195971084516499e-02,4.03857123772902726e-02,2.92820783548860368e-02,3.05968605305000536e-02,160,219
0,0,6.22028351559964082e-02,1.02250932017679791e-01,6.17257151342294336e-02,1.02951730691487303e-01,6.17257151342294336e-02,1.02705644331378229e-01,4.06231033982036444e-02,4.13494320056433315e-02,3.16868089995824762e-02,3.28849386835283267e-02,160,219
0,0,6.22028351559964013e-02,1.00993111415848658e-01,6.17257151342294128e-02,1.01728328181055511e-01,6.17257151342294544e-02,1.01507203941861468e-01,4.34413795653523782e-02,4.41764841691678622e-02,3.83459395140005460e-02,3.95179907122930191e-02,160,219
0,0,6.22028351559964152e-02,9.97060261569377160e-02,6.17257151342294544e-02,1.00476788457931926e-01,6.17257151342294405e-02,1.00279483536697758e-01,4.66359393309486447e-02,4.73715798114060921e-02,4.57683266509773812e-02,4.68991325316007596e-02,160,219
0,0,6.22028351559964221e-02,9.91829740072142918e-02,6.17257151342294474e-02,9.99682961451061058e-02,6.17257151342294266e-02,9.97817685730068432e-02,4.80221530088539433e-02,4.87519030905314218e-02,4.89568712831567679e-02,5.00580730051703796e-02,160,219
0,0,6.22028351559964221e-02,9.86664734241976815e-02,6.17257151342294613e-02,9.94662569256449802e-02,6.17257151342294266e-02,9.92825821488683563e-02,4.94411645474029729e-02,5.01855175539730261e-02,5.22036517800461911e-02,5.33227828176947999e-02,160,219
0,0,6.22028351559964221e-02,9.85040376328124301e-02,6.17257151342294474e-02,9.93084010557114677e-02,6.17257151342294405e-02,9.91253522508361157e-02,4.98992104245860671e-02,5.06478966824421978e-02,5.32478537264178958e-02,5.43723237118109437e-02,160,219
0,0,6.22028351559964152e-02,9.77005680477176369e-02,6.17257151342294405e-02,9.85276834644396443e-02,6.17257151342294405e-02,9.83480511630816651e-02,5.22318977722451838e-02,5.30010143999110131e-02,5.85438061542154220e-02,5.96925443118534321e-02,160,219
0,0,6.22028351559963943e-02,9.70691690797388790e-02,6.17257151342294128e-02,9.79143021041371242e-02,6.17257151342294128e-02,9.77446457518697798e-02,5.41449152219026786e-02,5.49063562956587162e-02,6.28617506975935048e-02,6.39765216810192910e-02,160,219
0,0,6.22028351559964013e-02,9.63135453073468983e-02,6.17257151342294266e-02,9.71794636161691927e-02,6.17257151342294336e-02,9.70124426211143587e-02,5.65193536870935084e-02,5.72960149584385153e-02,6.81951259326174369e-02,6.93262460059529267e-02,160,219
0,0,6.22028351559964221e-02,9.58742533304723088e-02,6.17257151342294544e-02,9.67523146189873118e-02,6.17257151342294266e-02,9.65866840477201116e-02,5.79390478944834253e-02,5.87237716035701254e-02,7.13722205793764081e-02,7.25114652481397282e-02,160,219
0,0,6.22028351559963874e-02,9.52945841673451394e-02,6.17257151342294128e-02,9.61887278816866559e-02,6.17257151342294266e-02,9.60249316421176724e-02,5.98537794940139645e-02,6.06484276036949460e-02,7.56449424986309071e-02,7.67935774022323325e-02,160,219
0,0,6.22028351559964152e-02,9.47217180947137749e-02,6.17257151342294405e-02,9.56318214119765836e-02,6.17257151342294266e-02,9.54705727124097875e-02,6.17905614923264235e-02,6.25944673145643060e-02,7.99539220665070050e-02,8.11102857953224371e-02,160,219
0,0,6.22028351559964221e-02,9.38786895441569569e-02,6.17257151342294336e-02,9.48125039941697806e-02,6.17257151342294544e-02,9.46605420255138552e-02,6.47318601063599647e-02,6.55249125808321647e-02,8.64725014077189769e-02,8.75872244777439468e-02,160,219
0,0,6.22028351559964013e-02,9.37398443205536835e-02,6.17257151342294128e-02,9.46775841790215705e-02,6.17257151342294474e-02,9.45257522546201212e-02,6.52256107577488115e-02,6.60202931609634169e-02,8.75642024596429425e-02,8.86799871470554807e-02,160,219
0,0,6.22028351559964013e-02,9.30523723369024031e-02,6.17257151342294336e-02,9.40090169207728615e-02,6.17257151342294405e-02,9.38591694856149572e-02,6.77067668816227625e-02,6.85092079199872556e-02,9.30401723702553307e-02,9.41601132361928467e-02,160,219
0,0,6.22028351559964152e-02,9.23946305676762031e-02,6.17257151342294266e-02,9.33694382826285724e-02,6.17257151342294266e-02,9.32218363770615233e-02,7.01370854613911909e-02,7.09461791421057142e-02,9.83887144889447895e-02,9.95109873565008102e-02,160,219
0,0,6.22028351559964082e-02,9.22668503270794860e-02,6.17257151342294266e-02,9.32451132400448357e-02,6.17257151342294405e-02,9.30978815124995779e-02,7.06156673414095465e-02,7.14259055241260321e-02,9.94402626028122183e-02,1.00562821062126356e-01,160,219
