operator_name,count,mean_delta_sum,median_delta_sum,mean_delta_shape,median_delta_shape,success_left_fraction,success_down_fraction,success_diagonal_fraction,mean_delta_du_rms,mean_delta_U_overlap,mean_radius_ratio_after_over_before,valid_after_fraction
bounded_ricci_du010,48,-1.60730207830270602e-02,-1.59606158031307781e-02,-1.35728771138404910e-03,-1.34450702422021090e-03,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,-2.64260731723515684e-02,2.16179497314682112e-01,9.98088007743359373e-01,1.00000000000000000e+00
box_shear_aspect,48,2.31296463463574266e-18,0.00000000000000000e+00,-2.15803609413557169e-07,0.00000000000000000e+00,2.08333333333333322e-02,2.50000000000000000e-01,2.08333333333333322e-02,0.00000000000000000e+00,-5.04268093631097428e-07,1.00000000000000000e+00,1.00000000000000000e+00
compression_step,48,-1.07030287956764187e-05,-6.93889390390722838e-18,3.77439352446491821e-05,6.24500451351650554e-17,5.00000000000000000e-01,3.12500000000000000e-01,1.25000000000000000e-01,2.89848129626576780e-05,-1.49696655439755604e-03,1.00000000000000000e+00,1.00000000000000000e+00
free_ricci,48,-7.46620748957751990e-02,-7.49589220912697252e-02,-3.67193370169236139e-03,-3.59052756810018109e-03,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.48174567194572865e-01,9.32126415909789507e+00,1.23345719297718559e+00,1.00000000000000000e+00
post_voro_surgery,48,-7.54226108781164140e-03,-7.87054046446754307e-03,2.09549928433093863e-02,2.09673619783327519e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.14187303550216026e-02,0.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00
radius_label_swap,48,8.76606383684065682e-07,0.00000000000000000e+00,-1.75094781679179206e-06,0.00000000000000000e+00,3.54166666666666685e-01,4.16666666666666685e-01,2.50000000000000000e-01,-1.46359152961694078e-05,1.31610767746331896e-06,1.00000000000000000e+00,1.00000000000000000e+00
shape_descent,48,4.90716799017345152e-06,0.00000000000000000e+00,-2.22000428403030629e-05,-7.27206337145652748e-06,1.45833333333333343e-01,7.29166666666666630e-01,1.25000000000000000e-01,3.67701953195182855e-05,5.47399348001615868e-05,1.00000000000000000e+00,1.00000000000000000e+00
