run_id,seed,N,phi,operator_name,operator_family,topology_identity_before,topology_identity_after,valid_before,valid_after,Theta_NM_before,Theta_NM_after,Delta_Theta_NM,Theta_sum_before,Theta_sum_after,Delta_Theta_sum,Theta_shape_before,Theta_shape_after,Delta_Theta_shape,B_rms_before,B_rms_after,Delta_B_rms,S_pred_before,S_pred_after,Delta_S_pred,du_rms_before,du_rms_after,Delta_du_rms,du_max_before,du_max_after,Delta_du_max,U_overlap_before,U_overlap_after,Delta_U_overlap,max_overlap_before,max_overlap_after,Delta_max_overlap,radius_ratio_before,radius_ratio_after,degree_radius_corr_before,degree_radius_corr_after,time_sec,success_left,success_down,success_diagonal,status,notes
0,6000,576,8.39999999999999969e-01,bounded_ricci_du010,sum_channel,voro_radical,voro_radical_fixed_topology,1,1,1.17974262783143283e-01,1.13652904188127568e-01,-4.32135859501571462e-03,7.35738568177581181e-02,5.81711272377717498e-02,-1.54027295799863684e-02,1.17460733244344542e-01,1.16124356261749356e-01,-1.33637698259518600e-03,5.34834314009275502e-01,4.21381148041386377e-01,-1.13453165967889125e-01,1.40001227406915746e+02,1.06327330911830757e+02,-3.36738964950849891e+01,1.48645972054075731e-01,1.23547801281836678e-01,-2.50981707722390535e-02,6.33962044370051103e-01,5.56373383303598534e-01,-7.75886610664525689e-02,1.22844283691834599e-03,1.89676047698985606e-01,1.88447604862067269e-01,4.71472371064951545e-03,9.89075054080470473e-02,9.41927816973975318e-02,4.74246217406952830e+00,4.83298172853047525e+00,8.06748591938601045e-01,8.54730072943127528e-01,1.10433372500000360e+00,1,1,1,ok,relative_bounded_ricci
0,6000,576,8.39999999999999969e-01,box_shear_aspect,shape_channel,voro_radical,voro_radical_rebuilt,1,1,1.17974262783143283e-01,1.17973393575716443e-01,-8.69207426840157282e-07,7.35738568177581181e-02,7.35738568177581181e-02,0.00000000000000000e+00,1.17460733244344542e-01,1.17460295949178450e-01,-4.37295166091922205e-07,5.34834314009275502e-01,5.34834314009275502e-01,0.00000000000000000e+00,1.40001227406915746e+02,1.40001227406915746e+02,0.00000000000000000e+00,1.48645972054075731e-01,1.48645972054075731e-01,0.00000000000000000e+00,6.33962044370051103e-01,6.33962044370051103e-01,0.00000000000000000e+00,1.22844283691834599e-03,1.22628824901584665e-03,-2.15458790249934036e-06,4.71472371064951545e-03,4.70523291230140472e-03,-9.49079834811072942e-06,4.74246217406952830e+00,4.74246217406952830e+00,8.06748591938601045e-01,8.06748591938601045e-01,1.23580860259999952e+01,0,1,0,ok,aspect-only box strain; shear omitted for rectangular voro++ container
0,6000,576,8.39999999999999969e-01,compression_step,coupled,voro_radical,voro_radical_rebuilt,1,1,1.17974262783143283e-01,1.17974262783143130e-01,-1.52655665885959024e-16,7.35738568177581181e-02,7.35738568177580765e-02,-4.16333634234433703e-17,1.17460733244344542e-01,1.17460733244344542e-01,0.00000000000000000e+00,5.34834314009275502e-01,5.34834314009275502e-01,0.00000000000000000e+00,1.40001227406915746e+02,1.40001227406915746e+02,0.00000000000000000e+00,1.48645972054075731e-01,1.48645972054075731e-01,0.00000000000000000e+00,6.33962044370051103e-01,6.33962044370051103e-01,0.00000000000000000e+00,1.22844283691834599e-03,0.00000000000000000e+00,-1.22844283691834599e-03,4.71472371064951545e-03,0.00000000000000000e+00,-4.71472371064951545e-03,4.74246217406952830e+00,4.74246217406952830e+00,8.06748591938601045e-01,8.06748591938601045e-01,9.50711798599999725e+00,1,0,0,ok,local phi scan best endpoint
0,6000,576,8.39999999999999969e-01,free_ricci,sum_channel,voro_radical,voro_radical_fixed_topology,1,1,1.17974262783143283e-01,1.10383561992771009e-01,-7.59070079037227341e-03,7.35738568177581181e-02,6.81171533603923995e-12,-7.35738568109464003e-02,1.17460733244344542e-01,1.13390271958102903e-01,-4.07046128624163894e-03,5.34834314009275502e-01,4.88389946270090924e-11,-5.34834313960436458e-01,1.40001227406915746e+02,1.75411775582006132e-08,-1.40001227389374577e+02,1.48645972054075731e-01,2.25639929242406119e-10,-1.48645971828435808e-01,6.33962044370051103e-01,4.57061842041635968e-10,-6.33962043912989270e-01,1.22844283691834599e-03,9.04871683096131818e+00,9.04748838812439971e+00,4.71472371064951545e-03,7.40771357537858943e-01,7.36056633827209428e-01,4.74246217406952830e+00,5.47364666742605177e+00,8.06748591938601045e-01,9.23984898722775005e-01,9.03420481000011932e-01,1,1,1,ok,converged: max_abs_K < tol
0,6000,576,8.39999999999999969e-01,post_voro_surgery,topology,voro_radical,post_surgery_nonradical,1,1,1.17974262783143283e-01,1.32553527809868010e-01,1.45792650267247276e-02,7.35738568177581181e-02,6.82499220571122639e-02,-5.32393476064585425e-03,1.17460733244344542e-01,1.38305808298267441e-01,2.08450750539228985e-02,5.34834314009275502e-01,4.97139828460804178e-01,-3.76944855484713237e-02,1.40001227406915746e+02,1.00093985846114052e+02,-3.99072415608016939e+01,1.48645972054075731e-01,1.40428163520810528e-01,-8.21780853326520289e-03,6.33962044370051103e-01,4.78515387517506552e-01,-1.55446656852544551e-01,1.22844283691834599e-03,1.22844283691834599e-03,0.00000000000000000e+00,4.71472371064951545e-03,4.71472371064951545e-03,0.00000000000000000e+00,4.74246217406952830e+00,4.74246217406952830e+00,8.06748591938601045e-01,8.30391354992464081e-01,5.04668294393999986e+02,1,0,0,ok,light topology surgery; no longer radical
0,6000,576,8.39999999999999969e-01,radius_label_swap,sum_channel,voro_radical,voro_radical_rebuilt,1,1,1.17974262783143283e-01,1.17974262783143283e-01,0.00000000000000000e+00,7.35738568177581181e-02,7.35738568177581181e-02,0.00000000000000000e+00,1.17460733244344542e-01,1.17460733244344542e-01,0.00000000000000000e+00,5.34834314009275502e-01,5.34834314009275502e-01,0.00000000000000000e+00,1.40001227406915746e+02,1.40001227406915746e+02,0.00000000000000000e+00,1.48645972054075731e-01,1.48645972054075731e-01,0.00000000000000000e+00,6.33962044370051103e-01,6.33962044370051103e-01,0.00000000000000000e+00,1.22844283691834599e-03,1.22844283691834599e-03,0.00000000000000000e+00,4.71472371064951545e-03,4.71472371064951545e-03,0.00000000000000000e+00,4.74246217406952830e+00,4.74246217406952830e+00,8.06748591938601045e-01,8.06748591938601045e-01,1.16134222729999692e+01,0,0,0,ok,radius labels permuted; distribution exactly preserved
0,6000,576,8.39999999999999969e-01,shape_descent,shape_channel,voro_radical,voro_radical_rebuilt,1,1,1.17974262783143283e-01,1.17962330015457639e-01,-1.19327676856434417e-05,7.35738568177581181e-02,7.35738568177581181e-02,0.00000000000000000e+00,1.17460733244344542e-01,1.17453562644074985e-01,-7.17060026955707031e-06,5.34834314009275502e-01,5.34834314009275502e-01,0.00000000000000000e+00,1.40001227406915746e+02,1.40001227406915746e+02,0.00000000000000000e+00,1.48645972054075731e-01,1.48645972054075731e-01,0.00000000000000000e+00,6.33962044370051103e-01,6.33962044370051103e-01,0.00000000000000000e+00,1.22844283691834599e-03,1.23197384292124271e-03,3.53100600289672426e-06,4.71472371064951545e-03,4.71472371064951545e-03,0.00000000000000000e+00,4.74246217406952830e+00,4.74246217406952830e+00,8.06748591938601045e-01,8.06748591938601045e-01,1.68154675359999999e+01,0,1,0,ok,stochastic coordinate shape descent
1,6001,576,8.39999999999999969e-01,bounded_ricci_du010,sum_channel,voro_radical,voro_radical_fixed_topology,1,1,1.18930628660624663e-01,1.15320182907328539e-01,-3.61044575329612372e-03,7.01798219966494469e-02,5.68027846181196200e-02,-1.33770373785298269e-02,1.20113654900885714e-01,1.18849275934066842e-01,-1.26437896681887152e-03,5.08387484015149216e-01,4.09944349276368136e-01,-9.84431347387810796e-02,1.06326599752158117e+02,8.41691265214226263e+01,-2.21574732307354907e+01,1.44723130324403454e-01,1.22943251230948347e-01,-2.17798790934551068e-02,4.96276440344299852e-01,4.47604849686985662e-01,-4.86715906573141899e-02,2.46571237642286435e-03,1.88865680773391609e-01,1.86399968396968735e-01,6.81125454725273194e-03,1.06550514520010520e-01,9.97392599727577878e-02,4.74246217406952830e+00,4.72319861563500698e+00,8.22361461352012491e-01,8.63150042348787672e-01,8.83082364000017606e-01,1,1,1,ok,relative_bounded_ricci
1,6001,576,8.39999999999999969e-01,box_shear_aspect,shape_channel,voro_radical,voro_radical_rebuilt,1,1,1.18930628660624663e-01,1.18930493849919133e-01,-1.34810705529342378e-07,7.01798219966494469e-02,7.01798219966494469e-02,0.00000000000000000e+00,1.20113654900885714e-01,1.20113227590479862e-01,-4.27310405851089037e-07,5.08387484015149216e-01,5.08387484015149216e-01,0.00000000000000000e+00,1.06326599752158117e+02,1.06326599752158117e+02,0.00000000000000000e+00,1.44723130324403454e-01,1.44723130324403454e-01,0.00000000000000000e+00,4.96276440344299852e-01,4.96276440344299852e-01,0.00000000000000000e+00,2.46571237642286435e-03,2.46381354878714553e-03,-1.89882763571881663e-06,6.81125454725273194e-03,6.87532475413998867e-03,6.40702068872567310e-05,4.74246217406952830e+00,4.74246217406952830e+00,8.22361461352012491e-01,8.22361461352012491e-01,1.34138209879999977e+01,0,1,0,ok,aspect-only box strain; shear omitted for rectangular voro++ container
1,6001,576,8.39999999999999969e-01,compression_step,coupled,voro_radical,voro_radical_rebuilt,1,1,1.18930628660624663e-01,1.19051091385456539e-01,1.20462724831876811e-04,7.01798219966494469e-02,6.98144715692703977e-02,-3.65350427379049214e-04,1.20113654900885714e-01,1.20278454457498241e-01,1.64799556612527098e-04,5.08387484015149216e-01,5.06448256920421391e-01,-1.93922709472782451e-03,1.06326599752158117e+02,1.06174083953331603e+02,-1.52515798826513560e-01,1.44723130324403454e-01,1.44617504609532516e-01,-1.05625714870938303e-04,4.96276440344299852e-01,4.95864489420551890e-01,-4.11950923747961273e-04,2.46571237642286435e-03,0.00000000000000000e+00,-2.46571237642286435e-03,6.81125454725273194e-03,0.00000000000000000e+00,-6.81125454725273194e-03,4.74246217406952830e+00,4.74246217406952830e+00,8.22361461352012491e-01,8.22463875676057832e-01,9.51421012799997357e+00,1,0,0,ok,local phi scan best endpoint
