run_id,seed,N,phi,operator_name,operator_family,topology_identity_before,topology_identity_after,valid_before,valid_after,Theta_NM_before,Theta_NM_after,Delta_Theta_NM,Theta_sum_before,Theta_sum_after,Delta_Theta_sum,Theta_shape_before,Theta_shape_after,Delta_Theta_shape,B_rms_before,B_rms_after,Delta_B_rms,S_pred_before,S_pred_after,Delta_S_pred,du_rms_before,du_rms_after,Delta_du_rms,du_max_before,du_max_after,Delta_du_max,U_overlap_before,U_overlap_after,Delta_U_overlap,max_overlap_before,max_overlap_after,Delta_max_overlap,radius_ratio_before,radius_ratio_after,degree_radius_corr_before,degree_radius_corr_after,time_sec,success_left,success_down,success_diagonal,status,notes
0,5000,256,8.39999999999999969e-01,bounded_ricci_du010,sum_channel,voro_radical,voro_radical_fixed_topology,1,1,1.22499764529738778e-01,1.17782242646378835e-01,-4.71752188335994305e-03,7.97974009700866960e-02,6.59166619090780503e-02,-1.38807390610086456e-02,1.19856608806006779e-01,1.18540215623506848e-01,-1.31639318249993087e-03,5.83486463009095679e-01,4.79334611552875656e-01,-1.04151851456220024e-01,1.19529146507398508e+02,9.22771215154654385e+01,-2.72520249919330695e+01,1.56964576320315491e-01,1.34069862475865775e-01,-2.28947138444497156e-02,5.21094382057403882e-01,4.57587980099664837e-01,-6.35064019577390448e-02,4.53715929528068773e-03,7.09706686672994108e-02,6.64335093720187231e-02,1.13506296529952699e-02,8.10728479234295030e-02,6.97222182704342330e-02,3.96077057090769946e+00,3.94353524803967836e+00,7.91660492723290088e-01,8.39970700228925060e-01,1.15525889000000603e-01,1,1,1,ok,relative_bounded_ricci
0,5000,256,8.39999999999999969e-01,box_shear_aspect,shape_channel,voro_radical,voro_radical_rebuilt,1,1,1.22499764529738778e-01,1.22498997490577965e-01,-7.67039160812221787e-07,7.97974009700866960e-02,7.97974009700866682e-02,-2.77555756156289135e-17,1.19856608806006779e-01,1.19857013621903277e-01,4.04815896498655903e-07,5.83486463009095679e-01,5.83486463009095679e-01,0.00000000000000000e+00,1.19529146507398508e+02,1.19529146507398508e+02,0.00000000000000000e+00,1.56964576320315491e-01,1.56964576320315491e-01,0.00000000000000000e+00,5.21094382057403882e-01,5.21094382057403882e-01,0.00000000000000000e+00,4.53715929528068773e-03,4.53552627624700770e-03,-1.63301903368003043e-06,1.13506296529952699e-02,1.13259520704760419e-02,-2.46775825192280251e-05,3.96077057090769946e+00,3.96077057090769946e+00,7.91660492723290088e-01,7.91660492723290088e-01,2.80256106400000249e+00,1,0,0,ok,aspect-only box strain; shear omitted for rectangular voro++ container
0,5000,256,8.39999999999999969e-01,compression_step,coupled,voro_radical,voro_radical_rebuilt,1,1,1.22499764529738778e-01,1.22499764529738805e-01,2.77555756156289135e-17,7.97974009700866960e-02,7.97974009700867237e-02,2.77555756156289135e-17,1.19856608806006779e-01,1.19856608806006834e-01,5.55111512312578270e-17,5.83486463009095679e-01,5.83486463009095679e-01,0.00000000000000000e+00,1.19529146507398508e+02,1.19529146507398508e+02,0.00000000000000000e+00,1.56964576320315491e-01,1.56964576320315491e-01,0.00000000000000000e+00,5.21094382057403882e-01,5.21094382057403882e-01,0.00000000000000000e+00,4.53715929528068773e-03,0.00000000000000000e+00,-4.53715929528068773e-03,1.13506296529952699e-02,0.00000000000000000e+00,-1.13506296529952699e-02,3.96077057090769946e+00,3.96077057090769946e+00,7.91660492723290088e-01,7.91660492723290088e-01,1.09467172499999776e+00,0,0,0,ok,local phi scan best endpoint
0,5000,256,8.39999999999999969e-01,free_ricci,sum_channel,voro_radical,voro_radical_fixed_topology,1,1,1.22499764529738778e-01,1.11066520278383360e-01,-1.14332442513554178e-02,7.97974009700866960e-02,6.75884830769525907e-12,-7.97974009633278525e-02,1.19856608806006779e-01,1.14923553375062715e-01,-4.93305543094406385e-03,5.83486463009095679e-01,4.78381880317034683e-11,-5.83486462961257502e-01,1.19529146507398508e+02,8.51199087011588763e-09,-1.19529146498886519e+02,1.56964576320315491e-01,2.26646547590772566e-10,-1.56964576093668956e-01,5.21094382057403882e-01,4.58668454921952483e-10,-5.21094381598735445e-01,4.53715929528068773e-03,4.15517199764322331e+00,4.15063483834794233e+00,1.13506296529952699e-02,5.09588232343545222e-01,4.98237602690549952e-01,3.96077057090769946e+00,5.13385384451954607e+00,7.91660492723290088e-01,9.20336741095900690e-01,1.24425625000000650e-01,1,1,1,ok,converged: max_abs_K < tol
0,5000,256,8.39999999999999969e-01,post_voro_surgery,topology,voro_radical,post_surgery_nonradical,1,1,1.22499764529738778e-01,1.43884386583156137e-01,2.13846220534173598e-02,7.97974009700866960e-02,6.33791147655885928e-02,-1.64182862044981032e-02,1.19856608806006779e-01,1.52457151894829751e-01,3.26005430888229725e-02,5.83486463009095679e-01,4.62248921008825919e-01,-1.21237542000269760e-01,1.19529146507398508e+02,7.10537610071280881e+01,-4.84753855002704199e+01,1.56964576320315491e-01,1.28119442854663146e-01,-2.88451334656523450e-02,5.21094382057403882e-01,3.47251070464775324e-01,-1.73843311592628558e-01,4.53715929528068773e-03,4.53715929528068773e-03,0.00000000000000000e+00,1.13506296529952699e-02,1.13506296529952699e-02,0.00000000000000000e+00,3.96077057090769946e+00,3.96077057090769946e+00,7.91660492723290088e-01,8.35888965307733489e-01,6.15406428269999992e+01,1,0,0,ok,light topology surgery; no longer radical
0,5000,256,8.39999999999999969e-01,radius_label_swap,sum_channel,voro_radical,voro_radical_rebuilt,1,1,1.22499764529738778e-01,1.22499787764145787e-01,2.32344070094647748e-08,7.97974009700866960e-02,7.98028142796909368e-02,5.41330960424080132e-06,1.19856608806006779e-01,1.19854877667090715e-01,-1.73113891606402337e-06,5.83486463009095679e-01,5.83514465124593040e-01,2.80021154973608688e-05,1.19529146507398508e+02,1.19530294282211401e+02,1.14777481289252137e-03,1.56964576320315491e-01,1.56965796984150918e-01,1.22066383542729362e-06,5.21094382057403882e-01,5.21095892036931518e-01,1.50997952763631815e-06,4.53715929528068773e-03,4.50818251685951386e-03,-2.89767784211738752e-05,1.13506296529952699e-02,1.13506296529952699e-02,0.00000000000000000e+00,3.96077057090769946e+00,3.96077057090769946e+00,7.91660492723290088e-01,7.91660492723290088e-01,8.48440007499999638e+00,0,1,0,ok,radius labels permuted; distribution exactly preserved
0,5000,256,8.39999999999999969e-01,shape_descent,shape_channel,voro_radical,voro_radical_rebuilt,1,1,1.22499764529738778e-01,1.22501459764058337e-01,1.69523431955975745e-06,7.97974009700866960e-02,7.97974009700866960e-02,0.00000000000000000e+00,1.19856608806006779e-01,1.19782875171991585e-01,-7.37336340151939496e-05,5.83486463009095679e-01,5.83486463009095679e-01,0.00000000000000000e+00,1.19529146507398508e+02,1.19529146507398508e+02,0.00000000000000000e+00,1.56964576320315491e-01,1.56964576320315491e-01,0.00000000000000000e+00,5.21094382057403882e-01,5.21094382057403882e-01,0.00000000000000000e+00,4.53715929528068773e-03,4.72635752816603829e-03,1.89198232885350558e-04,1.13506296529952699e-02,1.13506296529952699e-02,0.00000000000000000e+00,3.96077057090769946e+00,3.96077057090769946e+00,7.91660492723290088e-01,7.91660492723290088e-01,4.08159750500000129e+00,0,1,0,ok,stochastic coordinate shape descent
1,5001,256,8.39999999999999969e-01,bounded_ricci_du010,sum_channel,voro_radical,voro_radical_fixed_topology,1,1,1.13638151361536877e-01,1.09079224031995284e-01,-4.55892732954159274e-03,7.31079313080001680e-02,5.45838638159805711e-02,-1.85240674920195969e-02,1.13732160471657587e-01,1.12307858271302019e-01,-1.42430220035556776e-03,5.14815167390920370e-01,3.83815414506327168e-01,-1.30999752884593201e-01,9.51769142675232729e+01,6.66141427243058217e+01,-2.85627715432174512e+01,1.42689086069606230e-01,1.13939705107350062e-01,-2.87493809622561686e-02,4.44120139810292358e-01,3.69449289896205624e-01,-7.46708499140867343e-02,2.87280607168554367e-04,1.03330630402419035e-01,1.03043349795250483e-01,3.36565601562499594e-03,9.30597748369690336e-02,8.96941188213440377e-02,3.96077057090769946e+00,3.88932888378414798e+00,8.07375155519678867e-01,8.61760712454160860e-01,1.14021830000002211e-01,1,1,1,ok,relative_bounded_ricci
1,5001,256,8.39999999999999969e-01,box_shear_aspect,shape_channel,voro_radical,voro_radical_rebuilt,1,1,1.13638151361536877e-01,1.13638151361536877e-01,0.00000000000000000e+00,7.31079313080001680e-02,7.31079313080001680e-02,0.00000000000000000e+00,1.13732160471657587e-01,1.13732160471657587e-01,0.00000000000000000e+00,5.14815167390920370e-01,5.14815167390920370e-01,0.00000000000000000e+00,9.51769142675232729e+01,9.51769142675232729e+01,0.00000000000000000e+00,1.42689086069606230e-01,1.42689086069606230e-01,0.00000000000000000e+00,4.44120139810292358e-01,4.44120139810292358e-01,0.00000000000000000e+00,2.87280607168554367e-04,2.87280607168554367e-04,0.00000000000000000e+00,3.36565601562499594e-03,3.36565601562499594e-03,0.00000000000000000e+00,3.96077057090769946e+00,3.96077057090769946e+00,8.07375155519678867e-01,8.07375155519678867e-01,3.97001555700000353e+00,0,0,0,ok,aspect-only box strain; shear omitted for rectangular voro++ container
1,5001,256,8.39999999999999969e-01,compression_step,coupled,voro_radical,voro_radical_rebuilt,1,1,1.13638151361536877e-01,1.13638151361536835e-01,-4.16333634234433703e-17,7.31079313080001680e-02,7.31079313080001542e-02,-1.38777878078144568e-17,1.13732160471657587e-01,1.13732160471657545e-01,-4.16333634234433703e-17,5.14815167390920370e-01,5.14815167390920370e-01,0.00000000000000000e+00,9.51769142675232729e+01,9.51769142675232729e+01,0.00000000000000000e+00,1.42689086069606230e-01,1.42689086069606230e-01,0.00000000000000000e+00,4.44120139810292358e-01,4.44120139810292358e-01,0.00000000000000000e+00,2.87280607168554367e-04,0.00000000000000000e+00,-2.87280607168554367e-04,3.36565601562499594e-03,0.00000000000000000e+00,-3.36565601562499594e-03,3.96077057090769946e+00,3.96077057090769946e+00,8.07375155519678867e-01,8.07375155519678867e-01,1.89276809999999784e+00,1,1,1,ok,local phi scan best endpoint
