operator_name,count,mean_delta_sum,median_delta_sum,mean_delta_shape,median_delta_shape,success_left_fraction,success_down_fraction,success_diagonal_fraction,mean_delta_du_rms,mean_delta_U_overlap,mean_radius_ratio_after_over_before,valid_after_fraction
bounded_ricci_du010,128,-1.80784475020884031e-02,-1.80823544222670600e-02,-1.50207326721370866e-03,-1.50397527467217851e-03,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,-2.96961640988723345e-02,1.20042836126546912e-01,9.91069290297077687e-01,1.00000000000000000e+00
box_shear_aspect,128,0.00000000000000000e+00,0.00000000000000000e+00,-7.20159178655126880e-07,0.00000000000000000e+00,1.64062500000000000e-01,2.73437500000000000e-01,9.37500000000000000e-02,0.00000000000000000e+00,-1.53910659331317593e-06,1.00000000000000000e+00,1.00000000000000000e+00
compression_step,128,2.94469000342373810e-05,0.00000000000000000e+00,4.07769751633611571e-05,1.38777878078144568e-17,4.14062500000000000e-01,3.51562500000000000e-01,1.25000000000000000e-01,8.27637031138275976e-05,-1.25170263948268224e-03,1.00000000000000000e+00,1.00000000000000000e+00
free_ricci,128,-7.38520753150714165e-02,-7.42443711852548982e-02,-3.58261317149619844e-03,-3.54852062405496688e-03,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.46246916377896469e-01,4.04325773647780551e+00,1.23114520437304931e+00,1.00000000000000000e+00
post_voro_surgery,128,-9.07404200493440102e-03,-8.86984044553480733e-03,2.86863124720857163e-02,2.80320068381612400e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.41838736545720420e-02,0.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00
radius_label_swap,128,-1.89889570157518580e-05,0.00000000000000000e+00,-4.09447353528298499e-06,0.00000000000000000e+00,3.35937500000000000e-01,3.75000000000000000e-01,2.42187500000000000e-01,-5.44338358508663842e-05,-3.51221361868712760e-06,1.00000000000000000e+00,1.00000000000000000e+00
shape_descent,128,1.12362028155867794e-05,0.00000000000000000e+00,-3.58738308804128258e-05,-2.24809037500384168e-05,1.64062500000000000e-01,6.87500000000000000e-01,1.32812500000000000e-01,6.09169151133219771e-05,4.32953676799951315e-05,1.00000000000000000e+00,1.00000000000000000e+00
