attempt,accepted,Theta_sum_old,Theta_shape_old,Theta_sum_after_instant,Theta_shape_after_instant,Theta_sum_after_quench,Theta_shape_after_quench,F_old,F_after_quench,U_old,U_after_quench,flipped_edge_i,flipped_edge_j
0,1,5.92998479026872194e-02,1.15303202431135621e-01,5.96246829441901133e-02,1.17423864722744020e-01,5.96246829441901133e-02,1.14194627042880290e-01,3.76061015040518656e-02,3.36936051650959939e-02,1.49999451220383020e-02,8.11535331595149637e-03,160,219
0,1,5.92998479026872194e-02,1.15303202431135621e-01,5.96246829441901133e-02,1.17423864722744020e-01,5.96246829441901133e-02,1.14194627042880290e-01,3.76061015040518656e-02,3.36936051650959939e-02,1.49999451220383020e-02,8.11535331595149637e-03,160,219
0,1,5.92998479026872194e-02,1.15303202431135621e-01,5.96246829441901133e-02,1.17423864722744020e-01,5.96246829441901133e-02,1.14194627042880290e-01,3.76061015040518656e-02,3.36936051650959939e-02,1.49999451220383020e-02,8.11535331595149637e-03,160,219
0,0,5.92998479026872055e-02,1.04950165129020459e-01,5.96246829441900994e-02,1.06532642834614430e-01,5.96246829441900994e-02,1.06039518340845809e-01,3.30181381378997774e-02,3.41115974203501093e-02,1.49451837108012381e-02,1.61354714084755400e-02,160,219
0,0,5.92998479026872194e-02,1.01627641367573046e-01,5.96246829441901133e-02,1.03370658840651192e-01,5.96246829441900994e-02,1.03026964277702734e-01,3.62139820074898686e-02,3.74411454065610577e-02,2.40823101326718796e-02,2.53138637076155831e-02,160,219
0,0,5.92998479026872055e-02,9.92311059646672072e-02,5.96246829441900855e-02,1.01088982369583580e-01,5.96246829441900994e-02,1.00797003203660265e-01,3.98900709133120090e-02,4.11897804268348822e-02,3.33599483401762972e-02,3.46292118019245962e-02,160,219
0,0,5.92998479026871916e-02,9.84377561301726794e-02,5.96246829441900855e-02,1.00333344029013283e-01,5.96246829441901410e-02,1.00056921183310693e-01,4.13379428931676882e-02,4.26525956292899550e-02,3.68829745359983072e-02,3.81494357194565245e-02,160,219
0,0,5.92998479026872055e-02,9.79387059856112324e-02,5.96246829441900994e-02,9.98571672602036053e-02,5.96246829441900855e-02,9.95838086264906330e-02,4.23068607668548591e-02,4.36418981348480478e-02,3.92128170906020437e-02,4.05058508750756607e-02,160,219
0,0,5.92998479026872055e-02,9.74463380054133160e-02,5.96246829441900994e-02,9.93868749130229628e-02,5.96246829441900994e-02,9.91267092342862366e-02,4.33072726141816161e-02,4.46402097250491459e-02,4.15984461431385261e-02,4.28657958832329919e-02,160,219
0,0,5.92998479026871916e-02,9.62883696904059672e-02,5.96246829441900855e-02,9.82806684892906651e-02,5.96246829441900994e-02,9.80362952211470545e-02,4.58221948310436680e-02,4.71759790295692705e-02,4.75256451889785048e-02,4.87972917039965551e-02,160,219
0,0,5.92998479026871986e-02,9.54193326258750418e-02,5.96246829441900925e-02,9.74503093108485402e-02,5.96246829441900994e-02,9.72288724293725176e-02,4.78515339868934991e-02,4.91897981505977772e-02,5.22507278961538077e-02,5.34555761332563828e-02,160,219
0,0,5.92998479026871916e-02,9.43744044956478095e-02,5.96246829441900716e-02,9.64517064922923439e-02,5.96246829441901133e-02,9.62535028043720597e-02,5.04521405959257666e-02,5.17758524066959311e-02,5.82452243736552647e-02,5.93825519725564299e-02,160,219
0,0,5.92998479026872055e-02,9.38269358172727913e-02,5.96246829441900994e-02,9.59285117646988122e-02,5.96246829441900716e-02,9.57329906279397180e-02,5.18874393170077469e-02,5.32239933361548720e-02,6.15279591720173172e-02,6.26785590616425886e-02,160,219
0,0,5.92998479026872055e-02,9.31086966756668188e-02,5.96246829441900994e-02,9.52420560863843357e-02,5.96246829441901272e-02,9.50489200511484139e-02,5.38392288016532536e-02,5.51909325293558559e-02,6.59685960941775174e-02,6.71344706147629089e-02,160,219
0,0,5.92998479026872125e-02,9.25785704615511296e-02,5.96246829441901063e-02,9.47353386289338378e-02,5.96246829441900994e-02,9.45447500272412061e-02,5.53286703443381933e-02,5.66909538954572939e-02,6.93412299312951702e-02,7.05168631276700958e-02,160,219
0,0,5.92998479026872055e-02,9.14426030395266154e-02,5.96246829441900855e-02,9.36492996506083919e-02,5.96246829441900994e-02,9.34707721910909561e-02,5.86486863557037080e-02,6.00081052279118066e-02,7.68174301862659670e-02,7.79588638074379392e-02,160,219
0,0,5.92998479026872194e-02,9.12867474728550621e-02,5.96246829441901133e-02,9.35002527786572279e-02,5.96246829441901133e-02,9.33225746509967619e-02,5.91161268838016618e-02,6.04779927731670663e-02,7.78662287883483961e-02,7.90093681559802946e-02,160,219
0,0,5.92998479026871916e-02,9.06699634158736473e-02,5.96246829441900855e-02,9.29103727262977214e-02,5.96246829441900855e-02,9.27427389726143969e-02,6.09989007738198363e-02,6.23468487920644868e-02,8.20806885617325344e-02,8.31786294231686291e-02,160,219
0,0,5.92998479026872055e-02,8.99118040797220741e-02,5.96246829441900994e-02,9.21850926658676767e-02,5.96246829441900855e-02,9.20213243644312784e-02,6.33773078585301158e-02,6.47338218107380570e-02,8.73851417430152461e-02,8.84857414379502383e-02,160,219
0,0,5.92998479026872194e-02,8.96144040643369610e-02,5.96246829441901133e-02,9.19006152929636028e-02,5.96246829441901133e-02,9.17380934758647570e-02,6.43356504057003287e-02,6.56950335242855871e-02,8.95153912256119733e-02,9.06163502378347918e-02,160,219
