cycle,block_name,Delta_Theta_sum,Delta_Theta_shape,Delta_Theta_NM,Delta_B_rms,Delta_du_rms,Delta_U_overlap,accepted
40,box,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
40,surgery_microquench,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
41,shape,1.38777878078144568e-17,-5.49884210130496820e-04,-3.36419178289915077e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.20796947735597737e-03,1
41,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
42,shape,-2.77555756156289135e-17,-4.79670809836935108e-04,-2.89774691064406675e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.15080858761997321e-03,1
42,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
43,shape,1.38777878078144568e-17,-4.34949661026487466e-04,-2.58094763185695575e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.12234057998215897e-03,1
43,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
44,shape,0.00000000000000000e+00,-4.12250005639311357e-04,-2.43418339672576978e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.13353704192043631e-03,1
44,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
45,shape,0.00000000000000000e+00,-3.91408138753532309e-04,-2.28944376959402951e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.13817491794073952e-03,1
45,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
45,box,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
46,shape,0.00000000000000000e+00,-3.71778519087345716e-04,-2.16027200485663373e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.13567908322035130e-03,1
46,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
47,shape,-6.93889390390722838e-18,-3.50036358010910598e-04,-2.04847895353021947e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.12938823406655287e-03,1
47,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
48,shape,2.08166817117216851e-17,-3.32546058962393531e-04,-1.93424935903213635e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.11922849976445193e-03,1
48,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
49,shape,2.08166817117216851e-17,-3.32546058962393531e-04,-1.93424935903213635e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.11922849976445193e-03,1
49,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
50,shape,2.08166817117216851e-17,-3.32546058962393531e-04,-1.93424935903213635e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.11922849976445193e-03,1
50,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
50,box,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
50,surgery_microquench,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
51,shape,-1.38777878078144568e-17,-3.30666163459683582e-04,-1.91828150639006267e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.15462477983429082e-03,1
51,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
52,shape,0.00000000000000000e+00,-3.14835026548151986e-04,-1.81108878890501312e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.13744037396308617e-03,1
52,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
53,shape,0.00000000000000000e+00,-3.13162876439093685e-04,-1.79361053693649630e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.16778849725363357e-03,1
53,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
54,shape,0.00000000000000000e+00,-2.98283619796363419e-04,-1.70601376438317409e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.14592303435433543e-03,1
54,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
55,shape,1.38777878078144568e-17,-2.96724783809210191e-04,-1.69270531672371938e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.17190870881846501e-03,1
55,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
55,box,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
