cycle,block_name,Delta_Theta_sum,Delta_Theta_shape,Delta_Theta_NM,Delta_B_rms,Delta_du_rms,Delta_U_overlap,accepted
80,box,6.24500451351650554e-17,-1.87300205958668142e-05,-1.20801154943755984e-05,0.00000000000000000e+00,0.00000000000000000e+00,5.45862534423458001e-06,1
80,surgery_microquench,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
81,shape,-3.46944695195361419e-17,-3.57445108607863660e-04,-2.31269603103115284e-04,0.00000000000000000e+00,0.00000000000000000e+00,3.39828062235869588e-03,1
81,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
82,shape,5.55111512312578270e-17,-3.49625487142346536e-04,-2.25448086580946894e-04,0.00000000000000000e+00,0.00000000000000000e+00,3.29250944486053632e-03,1
82,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
83,shape,-2.77555756156289135e-17,-3.48721856253120244e-04,-2.26360270863514013e-04,0.00000000000000000e+00,0.00000000000000000e+00,3.22864630137148501e-03,1
83,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
84,shape,-2.77555756156289135e-17,-3.48721856253120244e-04,-2.26360270863514013e-04,0.00000000000000000e+00,0.00000000000000000e+00,3.22864630137148501e-03,1
84,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
85,shape,0.00000000000000000e+00,-3.46070017030394861e-04,-2.19821076030315976e-04,0.00000000000000000e+00,0.00000000000000000e+00,3.11048370126765228e-03,1
85,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
85,box,6.93889390390722838e-18,-2.70597956229592929e-05,-1.81257309344873274e-05,0.00000000000000000e+00,0.00000000000000000e+00,-2.80844484747411194e-05,1
86,shape,0.00000000000000000e+00,-3.34964886895654235e-04,-2.16663644371291320e-04,0.00000000000000000e+00,0.00000000000000000e+00,2.99511466322022191e-03,1
86,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
87,shape,6.93889390390722838e-18,-3.34812822837295132e-04,-2.22290711812067610e-04,0.00000000000000000e+00,0.00000000000000000e+00,2.98328132517239331e-03,1
87,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
88,shape,-5.55111512312578270e-17,-3.23961359232571855e-04,-2.15006020830542377e-04,0.00000000000000000e+00,0.00000000000000000e+00,2.90025991337167222e-03,1
88,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
89,shape,-5.55111512312578270e-17,-3.23961359232571855e-04,-2.15006020830542377e-04,0.00000000000000000e+00,0.00000000000000000e+00,2.90025991337167222e-03,1
89,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
90,shape,-5.55111512312578270e-17,-3.23961359232571855e-04,-2.15006020830542377e-04,0.00000000000000000e+00,0.00000000000000000e+00,2.90025991337167222e-03,1
90,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
90,box,4.16333634234433703e-17,-1.30773586910423734e-05,-7.97072173329416156e-06,0.00000000000000000e+00,0.00000000000000000e+00,5.96698102262038788e-07,1
90,surgery_microquench,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
91,shape,-2.08166817117216851e-17,-3.20839033933942308e-04,-2.13403181784269091e-04,0.00000000000000000e+00,0.00000000000000000e+00,2.85811839499383602e-03,1
91,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
92,shape,-2.08166817117216851e-17,-3.20839033933942308e-04,-2.13403181784269091e-04,0.00000000000000000e+00,0.00000000000000000e+00,2.85811839499383602e-03,1
92,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
93,shape,1.38777878078144568e-17,-3.05967538784049364e-04,-2.05294929865415532e-04,0.00000000000000000e+00,0.00000000000000000e+00,2.70224139502034388e-03,1
93,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
94,shape,-6.93889390390722838e-18,-2.89279096594020901e-04,-1.95932279700758438e-04,0.00000000000000000e+00,0.00000000000000000e+00,2.54951380151086093e-03,1
94,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
95,shape,6.93889390390722838e-18,-2.74173015759382466e-04,-1.91536630104689742e-04,0.00000000000000000e+00,0.00000000000000000e+00,2.39333134497787814e-03,1
95,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
95,box,1.38777878078144568e-17,-7.92190990524938021e-06,-6.05343140510500310e-06,0.00000000000000000e+00,0.00000000000000000e+00,-2.04457665636814667e-06,1
96,shape,-3.46944695195361419e-17,-2.63833620093613386e-04,-1.84766869784885879e-04,0.00000000000000000e+00,0.00000000000000000e+00,2.25115226132444057e-03,1
96,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
97,shape,-3.46944695195361419e-17,-2.63833620093613386e-04,-1.84766869784885879e-04,0.00000000000000000e+00,0.00000000000000000e+00,2.25115226132444057e-03,1
97,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
98,shape,-3.46944695195361419e-17,-2.63833620093613386e-04,-1.84766869784885879e-04,0.00000000000000000e+00,0.00000000000000000e+00,2.25115226132444057e-03,1
98,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
99,shape,6.93889390390722838e-18,-2.51811451918007578e-04,-1.72561808999910360e-04,0.00000000000000000e+00,0.00000000000000000e+00,2.13574492710089103e-03,1
99,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
