attempt,accepted,Theta_sum_old,Theta_shape_old,Theta_sum_after_instant,Theta_shape_after_instant,Theta_sum_after_quench,Theta_shape_after_quench,F_old,F_after_quench,U_old,U_after_quench,flipped_edge_i,flipped_edge_j
0,1,4.51604846175516286e-02,1.14356860027513510e-01,4.68159594618365246e-02,1.17602113887988691e-01,4.68159594618365316e-02,1.14205780104447416e-01,1.16311563139002427e-01,9.44672882992369928e-02,1.76234221794811352e-01,1.32379267640747755e-01,160,219
0,1,4.51604846175516286e-02,1.14356860027513510e-01,4.68159594618365246e-02,1.17602113887988691e-01,4.68159594618365316e-02,1.14205780104447416e-01,1.16311563139002427e-01,9.44672882992369928e-02,1.76234221794811352e-01,1.32379267640747755e-01,160,219
0,1,4.51604846175516286e-02,1.14356860027513510e-01,4.68159594618365246e-02,1.17602113887988691e-01,4.68159594618365316e-02,1.14205780104447416e-01,1.16311563139002427e-01,9.44672882992369928e-02,1.76234221794811352e-01,1.32379267640747755e-01,160,219
0,1,4.51604846175516286e-02,1.14356860027513510e-01,4.68159594618365246e-02,1.17602113887988691e-01,4.68159594618365316e-02,1.14205780104447416e-01,1.16311563139002427e-01,9.44672882992369928e-02,1.76234221794811352e-01,1.32379267640747755e-01,160,219
0,1,4.51604846175516286e-02,1.14356860027513510e-01,4.68159594618365246e-02,1.17602113887988691e-01,4.68159594618365316e-02,1.14205780104447416e-01,1.16311563139002427e-01,9.44672882992369928e-02,1.76234221794811352e-01,1.32379267640747755e-01,160,219
0,1,4.51604846175516286e-02,1.14356860027513510e-01,4.68159594618365246e-02,1.17602113887988691e-01,4.68159594618365316e-02,1.14205780104447416e-01,1.16311563139002427e-01,9.44672882992369928e-02,1.76234221794811352e-01,1.32379267640747755e-01,160,219
0,1,4.51604846175516286e-02,1.14356860027513510e-01,4.68159594618365246e-02,1.17602113887988691e-01,4.68159594618365316e-02,1.14205780104447416e-01,1.16311563139002427e-01,9.44672882992369928e-02,1.76234221794811352e-01,1.32379267640747755e-01,160,219
0,1,4.51604846175516286e-02,1.14356860027513510e-01,4.68159594618365246e-02,1.17602113887988691e-01,4.68159594618365316e-02,1.14205780104447416e-01,1.16311563139002427e-01,9.44672882992369928e-02,1.76234221794811352e-01,1.32379267640747755e-01,160,219
0,1,4.51604846175516286e-02,1.14356860027513510e-01,4.68159594618365246e-02,1.17602113887988691e-01,4.68159594618365316e-02,1.14205780104447416e-01,1.16311563139002427e-01,9.44672882992369928e-02,1.76234221794811352e-01,1.32379267640747755e-01,160,219
0,1,4.51604846175516286e-02,1.14356860027513510e-01,4.68159594618365246e-02,1.17602113887988691e-01,4.68159594618365316e-02,1.14205780104447416e-01,1.16311563139002427e-01,9.44672882992369928e-02,1.76234221794811352e-01,1.32379267640747755e-01,160,219
0,1,4.51604846175516286e-02,1.14356860027513510e-01,4.68159594618365246e-02,1.17602113887988691e-01,4.68159594618365316e-02,1.14205780104447416e-01,1.16311563139002427e-01,9.44672882992369928e-02,1.76234221794811352e-01,1.32379267640747755e-01,160,219
0,1,4.51604846175516286e-02,1.14356860027513510e-01,4.68159594618365246e-02,1.17602113887988691e-01,4.68159594618365316e-02,1.14205780104447416e-01,1.16311563139002427e-01,9.44672882992369928e-02,1.76234221794811352e-01,1.32379267640747755e-01,160,219
0,1,4.51604846175516286e-02,1.14356860027513510e-01,4.68159594618365246e-02,1.17602113887988691e-01,4.68159594618365316e-02,1.14205780104447416e-01,1.16311563139002427e-01,9.44672882992369928e-02,1.76234221794811352e-01,1.32379267640747755e-01,160,219
0,1,4.51604846175516286e-02,1.14356860027513510e-01,4.68159594618365246e-02,1.17602113887988691e-01,4.68159594618365316e-02,1.14205780104447416e-01,1.16311563139002427e-01,9.44672882992369928e-02,1.76234221794811352e-01,1.32379267640747755e-01,160,219
0,1,4.51604846175516286e-02,1.14356860027513510e-01,4.68159594618365246e-02,1.17602113887988691e-01,4.68159594618365316e-02,1.14205780104447416e-01,1.16311563139002427e-01,9.44672882992369928e-02,1.76234221794811352e-01,1.32379267640747755e-01,160,219
0,1,4.51604846175516286e-02,1.14356860027513510e-01,4.68159594618365246e-02,1.17602113887988691e-01,4.68159594618365316e-02,1.14205780104447416e-01,1.16311563139002427e-01,9.44672882992369928e-02,1.76234221794811352e-01,1.32379267640747755e-01,160,219
0,1,4.51604846175516286e-02,1.14356860027513510e-01,4.68159594618365246e-02,1.17602113887988691e-01,4.68159594618365316e-02,1.14205780104447416e-01,1.16311563139002427e-01,9.44672882992369928e-02,1.76234221794811352e-01,1.32379267640747755e-01,160,219
0,1,4.51604846175516286e-02,1.14356860027513510e-01,4.68159594618365246e-02,1.17602113887988691e-01,4.68159594618365316e-02,1.14205780104447416e-01,1.16311563139002427e-01,9.44672882992369928e-02,1.76234221794811352e-01,1.32379267640747755e-01,160,219
0,1,4.51604846175516286e-02,1.14356860027513510e-01,4.68159594618365246e-02,1.17602113887988691e-01,4.68159594618365316e-02,1.14205780104447416e-01,1.16311563139002427e-01,9.44672882992369928e-02,1.76234221794811352e-01,1.32379267640747755e-01,160,219
0,1,4.51604846175516286e-02,1.14356860027513510e-01,4.68159594618365246e-02,1.17602113887988691e-01,4.68159594618365316e-02,1.14205780104447416e-01,1.16311563139002427e-01,9.44672882992369928e-02,1.76234221794811352e-01,1.32379267640747755e-01,160,219
