cycle,block_name,Delta_Theta_sum,Delta_Theta_shape,Delta_Theta_NM,Delta_B_rms,Delta_du_rms,Delta_U_overlap,accepted
1,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
1,ricci,-5.37335430819149695e-02,-2.75246983916659083e-03,-7.30708883597486203e-03,-3.93546378114383588e-01,-8.71181939750887424e-02,1.61394932020500947e+00,1
2,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
2,ricci,-5.37335430819149695e-02,-2.75246983916659083e-03,-7.30708883597486203e-03,-3.93546378114383588e-01,-8.71181939750887424e-02,1.61394932020500947e+00,1
3,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
3,ricci,-5.37335430819149695e-02,-2.75246983916659083e-03,-7.30708883597486203e-03,-3.93546378114383588e-01,-8.71181939750887424e-02,1.61394932020500947e+00,1
4,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
4,ricci,-5.37335430819149695e-02,-2.75246983916659083e-03,-7.30708883597486203e-03,-3.93546378114383588e-01,-8.71181939750887424e-02,1.61394932020500947e+00,1
5,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
5,ricci,-5.37335430819149695e-02,-2.75246983916659083e-03,-7.30708883597486203e-03,-3.93546378114383588e-01,-8.71181939750887424e-02,1.61394932020500947e+00,1
5,box,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
6,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
6,ricci,-5.37335430819149695e-02,-2.75246983916659083e-03,-7.30708883597486203e-03,-3.93546378114383588e-01,-8.71181939750887424e-02,1.61394932020500947e+00,1
7,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
7,ricci,-5.37335430819149695e-02,-2.75246983916659083e-03,-7.30708883597486203e-03,-3.93546378114383588e-01,-8.71181939750887424e-02,1.61394932020500947e+00,1
8,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
8,ricci,-5.37335430819149695e-02,-2.75246983916659083e-03,-7.30708883597486203e-03,-3.93546378114383588e-01,-8.71181939750887424e-02,1.61394932020500947e+00,1
9,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
9,ricci,-5.37335430819149695e-02,-2.75246983916659083e-03,-7.30708883597486203e-03,-3.93546378114383588e-01,-8.71181939750887424e-02,1.61394932020500947e+00,1
10,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
10,ricci,-5.37335430819149695e-02,-2.75246983916659083e-03,-7.30708883597486203e-03,-3.93546378114383588e-01,-8.71181939750887424e-02,1.61394932020500947e+00,1
10,box,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
10,surgery_microquench,2.39869018410339072e-03,-5.81319007840044866e-04,-8.88525217521834998e-04,6.57775372571450939e-02,1.31386139357737436e-02,-1.98010877056061130e-01,1
11,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
11,ricci,-5.37335430819149695e-02,-2.75246983916659083e-03,-7.30708883597486203e-03,-3.93546378114383588e-01,-8.71181939750887424e-02,1.61394932020500947e+00,1
12,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
12,ricci,-5.37335430819149695e-02,-2.75246983916659083e-03,-7.30708883597486203e-03,-3.93546378114383588e-01,-8.71181939750887424e-02,1.61394932020500947e+00,1
13,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
13,ricci,-5.37335430819149695e-02,-2.75246983916659083e-03,-7.30708883597486203e-03,-3.93546378114383588e-01,-8.71181939750887424e-02,1.61394932020500947e+00,1
14,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
14,ricci,-5.37335430819149695e-02,-2.75246983916659083e-03,-7.30708883597486203e-03,-3.93546378114383588e-01,-8.71181939750887424e-02,1.61394932020500947e+00,1
15,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
15,ricci,-5.37335430819149695e-02,-2.75246983916659083e-03,-7.30708883597486203e-03,-3.93546378114383588e-01,-8.71181939750887424e-02,1.61394932020500947e+00,1
15,box,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
16,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
16,ricci,-5.37335430819149695e-02,-2.75246983916659083e-03,-7.30708883597486203e-03,-3.93546378114383588e-01,-8.71181939750887424e-02,1.61394932020500947e+00,1
17,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
17,ricci,-5.37335430819149695e-02,-2.75246983916659083e-03,-7.30708883597486203e-03,-3.93546378114383588e-01,-8.71181939750887424e-02,1.61394932020500947e+00,1
18,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
18,ricci,-5.37335430819149695e-02,-2.75246983916659083e-03,-7.30708883597486203e-03,-3.93546378114383588e-01,-8.71181939750887424e-02,1.61394932020500947e+00,1
19,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
19,ricci,-5.37335430819149695e-02,-2.75246983916659083e-03,-7.30708883597486203e-03,-3.93546378114383588e-01,-8.71181939750887424e-02,1.61394932020500947e+00,1
20,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
20,ricci,-5.37335430819149695e-02,-2.75246983916659083e-03,-7.30708883597486203e-03,-3.93546378114383588e-01,-8.71181939750887424e-02,1.61394932020500947e+00,1
20,box,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
20,surgery_microquench,2.39869018410339072e-03,-5.81319007840044866e-04,-8.88525217521834998e-04,6.57775372571450939e-02,1.31386139357737436e-02,-1.98010877056061130e-01,1
21,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
21,ricci,-5.37335430819149695e-02,-2.75246983916659083e-03,-7.30708883597486203e-03,-3.93546378114383588e-01,-8.71181939750887424e-02,1.61394932020500947e+00,1
22,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
22,ricci,-5.37335430819149695e-02,-2.75246983916659083e-03,-7.30708883597486203e-03,-3.93546378114383588e-01,-8.71181939750887424e-02,1.61394932020500947e+00,1
23,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
23,ricci,-5.37335430819149695e-02,-2.75246983916659083e-03,-7.30708883597486203e-03,-3.93546378114383588e-01,-8.71181939750887424e-02,1.61394932020500947e+00,1
24,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
24,ricci,-5.37335430819149695e-02,-2.75246983916659083e-03,-7.30708883597486203e-03,-3.93546378114383588e-01,-8.71181939750887424e-02,1.61394932020500947e+00,1
25,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
25,ricci,-5.37335430819149695e-02,-2.75246983916659083e-03,-7.30708883597486203e-03,-3.93546378114383588e-01,-8.71181939750887424e-02,1.61394932020500947e+00,1
25,box,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
26,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
26,ricci,-5.37335430819149695e-02,-2.75246983916659083e-03,-7.30708883597486203e-03,-3.93546378114383588e-01,-8.71181939750887424e-02,1.61394932020500947e+00,1
27,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
27,ricci,-5.37335430819149695e-02,-2.75246983916659083e-03,-7.30708883597486203e-03,-3.93546378114383588e-01,-8.71181939750887424e-02,1.61394932020500947e+00,1
28,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
28,ricci,-5.37335430819149695e-02,-2.75246983916659083e-03,-7.30708883597486203e-03,-3.93546378114383588e-01,-8.71181939750887424e-02,1.61394932020500947e+00,1
29,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
