attempt,accepted,Theta_sum_old,Theta_shape_old,Theta_sum_after_instant,Theta_shape_after_instant,Theta_sum_after_quench,Theta_shape_after_quench,F_old,F_after_quench,U_old,U_after_quench,flipped_edge_i,flipped_edge_j
0,1,4.51604846331064222e-02,1.13007958088973195e-01,4.68159594768707069e-02,1.16275929571363082e-01,4.68159594768707069e-02,1.12961683113139477e-01,1.44690827017805890e-01,1.25022594094420597e-01,1.59634198748923484e-01,1.20250035609567804e-01,160,219
0,1,4.51604846331064222e-02,1.13007958088973195e-01,4.68159594768707069e-02,1.16275929571363082e-01,4.68159594768707069e-02,1.12961683113139477e-01,1.44690827017805890e-01,1.25022594094420597e-01,1.59634198748923484e-01,1.20250035609567804e-01,160,219
0,1,4.51604846331064222e-02,1.13007958088973195e-01,4.68159594768707069e-02,1.16275929571363082e-01,4.68159594768707069e-02,1.12961683113139477e-01,1.44690827017805890e-01,1.25022594094420597e-01,1.59634198748923484e-01,1.20250035609567804e-01,160,219
0,1,4.51604846331064222e-02,1.13007958088973195e-01,4.68159594768707069e-02,1.16275929571363082e-01,4.68159594768707069e-02,1.12961683113139477e-01,1.44690827017805890e-01,1.25022594094420597e-01,1.59634198748923484e-01,1.20250035609567804e-01,160,219
0,1,4.51604846331064222e-02,1.13007958088973195e-01,4.68159594768707069e-02,1.16275929571363082e-01,4.68159594768707069e-02,1.12961683113139477e-01,1.44690827017805890e-01,1.25022594094420597e-01,1.59634198748923484e-01,1.20250035609567804e-01,160,219
0,1,4.51604846331064222e-02,1.13007958088973195e-01,4.68159594768707069e-02,1.16275929571363082e-01,4.68159594768707069e-02,1.12961683113139477e-01,1.44690827017805890e-01,1.25022594094420597e-01,1.59634198748923484e-01,1.20250035609567804e-01,160,219
0,1,4.51604846331064222e-02,1.13007958088973195e-01,4.68159594768707069e-02,1.16275929571363082e-01,4.68159594768707069e-02,1.12961683113139477e-01,1.44690827017805890e-01,1.25022594094420597e-01,1.59634198748923484e-01,1.20250035609567804e-01,160,219
0,1,4.51604846331064222e-02,1.13007958088973195e-01,4.68159594768707069e-02,1.16275929571363082e-01,4.68159594768707069e-02,1.12961683113139477e-01,1.44690827017805890e-01,1.25022594094420597e-01,1.59634198748923484e-01,1.20250035609567804e-01,160,219
0,1,4.51604846331064222e-02,1.13007958088973195e-01,4.68159594768707069e-02,1.16275929571363082e-01,4.68159594768707069e-02,1.12961683113139477e-01,1.44690827017805890e-01,1.25022594094420597e-01,1.59634198748923484e-01,1.20250035609567804e-01,160,219
0,1,4.51604846331064222e-02,1.13007958088973195e-01,4.68159594768707069e-02,1.16275929571363082e-01,4.68159594768707069e-02,1.12961683113139477e-01,1.44690827017805890e-01,1.25022594094420597e-01,1.59634198748923484e-01,1.20250035609567804e-01,160,219
0,1,4.51604846331064222e-02,1.13007958088973195e-01,4.68159594768707069e-02,1.16275929571363082e-01,4.68159594768707069e-02,1.12961683113139477e-01,1.44690827017805890e-01,1.25022594094420597e-01,1.59634198748923484e-01,1.20250035609567804e-01,160,219
0,1,4.51604846331064222e-02,1.13007958088973195e-01,4.68159594768707069e-02,1.16275929571363082e-01,4.68159594768707069e-02,1.12961683113139477e-01,1.44690827017805890e-01,1.25022594094420597e-01,1.59634198748923484e-01,1.20250035609567804e-01,160,219
0,1,4.51604846331064222e-02,1.13007958088973195e-01,4.68159594768707069e-02,1.16275929571363082e-01,4.68159594768707069e-02,1.12961683113139477e-01,1.44690827017805890e-01,1.25022594094420597e-01,1.59634198748923484e-01,1.20250035609567804e-01,160,219
0,1,4.51604846331064222e-02,1.13007958088973195e-01,4.68159594768707069e-02,1.16275929571363082e-01,4.68159594768707069e-02,1.12961683113139477e-01,1.44690827017805890e-01,1.25022594094420597e-01,1.59634198748923484e-01,1.20250035609567804e-01,160,219
0,1,4.51604846331064222e-02,1.13007958088973195e-01,4.68159594768707069e-02,1.16275929571363082e-01,4.68159594768707069e-02,1.12961683113139477e-01,1.44690827017805890e-01,1.25022594094420597e-01,1.59634198748923484e-01,1.20250035609567804e-01,160,219
0,1,4.51604846331064222e-02,1.13007958088973195e-01,4.68159594768707069e-02,1.16275929571363082e-01,4.68159594768707069e-02,1.12961683113139477e-01,1.44690827017805890e-01,1.25022594094420597e-01,1.59634198748923484e-01,1.20250035609567804e-01,160,219
0,1,4.51604846331064222e-02,1.13007958088973195e-01,4.68159594768707069e-02,1.16275929571363082e-01,4.68159594768707069e-02,1.12961683113139477e-01,1.44690827017805890e-01,1.25022594094420597e-01,1.59634198748923484e-01,1.20250035609567804e-01,160,219
0,1,4.51604846331064222e-02,1.13007958088973195e-01,4.68159594768707069e-02,1.16275929571363082e-01,4.68159594768707069e-02,1.12961683113139477e-01,1.44690827017805890e-01,1.25022594094420597e-01,1.59634198748923484e-01,1.20250035609567804e-01,160,219
0,1,4.51604846331064222e-02,1.13007958088973195e-01,4.68159594768707069e-02,1.16275929571363082e-01,4.68159594768707069e-02,1.12961683113139477e-01,1.44690827017805890e-01,1.25022594094420597e-01,1.59634198748923484e-01,1.20250035609567804e-01,160,219
0,1,4.51604846331064222e-02,1.13007958088973195e-01,4.68159594768707069e-02,1.16275929571363082e-01,4.68159594768707069e-02,1.12961683113139477e-01,1.44690827017805890e-01,1.25022594094420597e-01,1.59634198748923484e-01,1.20250035609567804e-01,160,219
