cycle,F_total,Theta_NM,Theta_sum,Theta_shape,B_rms,S_pred,du_rms,du_max,U_overlap,max_overlap,radius_ratio,Lx,Ly,shear,accepted_cycle,ran_box,ran_surgery
1,7.14574924667399081e-02,1.17236124075458970e-01,6.65912349884724697e-02,1.17538624077935555e-01,4.88451484503178601e-01,1.03607912312341711e+02,1.31670700955504955e-01,5.22692045584683185e-01,3.27310854847368275e-04,3.49675693641504637e-03,3.96077057090769946e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,0,0,0
2,7.14574924667399081e-02,1.17236124075458970e-01,6.65912349884724697e-02,1.17538624077935555e-01,4.88451484503178601e-01,1.03607912312341711e+02,1.31670700955504955e-01,5.22692045584683185e-01,3.27310854847368275e-04,3.49675693641504637e-03,3.96077057090769946e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,0,0,0
3,7.14574924667399081e-02,1.17236124075458970e-01,6.65912349884724697e-02,1.17538624077935555e-01,4.88451484503178601e-01,1.03607912312341711e+02,1.31670700955504955e-01,5.22692045584683185e-01,3.27310854847368275e-04,3.49675693641504637e-03,3.96077057090769946e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,0,0,0
4,7.14574924667399081e-02,1.17236124075458970e-01,6.65912349884724697e-02,1.17538624077935555e-01,4.88451484503178601e-01,1.03607912312341711e+02,1.31670700955504955e-01,5.22692045584683185e-01,3.27310854847368275e-04,3.49675693641504637e-03,3.96077057090769946e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,0,0,0
5,7.14574924667399081e-02,1.17236124075458970e-01,6.65912349884724697e-02,1.17538624077935555e-01,4.88451484503178601e-01,1.03607912312341711e+02,1.31670700955504955e-01,5.22692045584683185e-01,3.27310854847368275e-04,3.49675693641504637e-03,3.96077057090769946e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,0,1,0
6,7.14574924667399081e-02,1.17236124075458970e-01,6.65912349884724697e-02,1.17538624077935555e-01,4.88451484503178601e-01,1.03607912312341711e+02,1.31670700955504955e-01,5.22692045584683185e-01,3.27310854847368275e-04,3.49675693641504637e-03,3.96077057090769946e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,0,0,0
7,7.14574924667399081e-02,1.17236124075458970e-01,6.65912349884724697e-02,1.17538624077935555e-01,4.88451484503178601e-01,1.03607912312341711e+02,1.31670700955504955e-01,5.22692045584683185e-01,3.27310854847368275e-04,3.49675693641504637e-03,3.96077057090769946e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,0,0,0
8,7.14574924667399081e-02,1.17236124075458970e-01,6.65912349884724697e-02,1.17538624077935555e-01,4.88451484503178601e-01,1.03607912312341711e+02,1.31670700955504955e-01,5.22692045584683185e-01,3.27310854847368275e-04,3.49675693641504637e-03,3.96077057090769946e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,0,0,0
9,7.14574924667399081e-02,1.17236124075458970e-01,6.65912349884724697e-02,1.17538624077935555e-01,4.88451484503178601e-01,1.03607912312341711e+02,1.31670700955504955e-01,5.22692045584683185e-01,3.27310854847368275e-04,3.49675693641504637e-03,3.96077057090769946e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,0,0,0
10,7.14574924667399081e-02,1.17236124075458970e-01,6.65912349884724697e-02,1.17538624077935555e-01,4.88451484503178601e-01,1.03607912312341711e+02,1.31670700955504955e-01,5.22692045584683185e-01,3.27310854847368275e-04,3.49675693641504637e-03,3.96077057090769946e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,0,1,1
11,7.14574924667399081e-02,1.17236124075458970e-01,6.65912349884724697e-02,1.17538624077935555e-01,4.88451484503178601e-01,1.03607912312341711e+02,1.31670700955504955e-01,5.22692045584683185e-01,3.27310854847368275e-04,3.49675693641504637e-03,3.96077057090769946e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,0,0,0
12,7.14574924667399081e-02,1.17236124075458970e-01,6.65912349884724697e-02,1.17538624077935555e-01,4.88451484503178601e-01,1.03607912312341711e+02,1.31670700955504955e-01,5.22692045584683185e-01,3.27310854847368275e-04,3.49675693641504637e-03,3.96077057090769946e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,0,0,0
13,7.14574924667399081e-02,1.17236124075458970e-01,6.65912349884724697e-02,1.17538624077935555e-01,4.88451484503178601e-01,1.03607912312341711e+02,1.31670700955504955e-01,5.22692045584683185e-01,3.27310854847368275e-04,3.49675693641504637e-03,3.96077057090769946e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,0,0,0
14,7.14574924667399081e-02,1.17236124075458970e-01,6.65912349884724697e-02,1.17538624077935555e-01,4.88451484503178601e-01,1.03607912312341711e+02,1.31670700955504955e-01,5.22692045584683185e-01,3.27310854847368275e-04,3.49675693641504637e-03,3.96077057090769946e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,0,0,0
15,7.14574924667399081e-02,1.17236124075458970e-01,6.65912349884724697e-02,1.17538624077935555e-01,4.88451484503178601e-01,1.03607912312341711e+02,1.31670700955504955e-01,5.22692045584683185e-01,3.27310854847368275e-04,3.49675693641504637e-03,3.96077057090769946e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,0,1,0
16,7.14574924667399081e-02,1.17236124075458970e-01,6.65912349884724697e-02,1.17538624077935555e-01,4.88451484503178601e-01,1.03607912312341711e+02,1.31670700955504955e-01,5.22692045584683185e-01,3.27310854847368275e-04,3.49675693641504637e-03,3.96077057090769946e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,0,0,0
17,7.14574924667399081e-02,1.17236124075458970e-01,6.65912349884724697e-02,1.17538624077935555e-01,4.88451484503178601e-01,1.03607912312341711e+02,1.31670700955504955e-01,5.22692045584683185e-01,3.27310854847368275e-04,3.49675693641504637e-03,3.96077057090769946e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,0,0,0
18,7.14574924667399081e-02,1.17236124075458970e-01,6.65912349884724697e-02,1.17538624077935555e-01,4.88451484503178601e-01,1.03607912312341711e+02,1.31670700955504955e-01,5.22692045584683185e-01,3.27310854847368275e-04,3.49675693641504637e-03,3.96077057090769946e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,0,0,0
19,7.14574924667399081e-02,1.17236124075458970e-01,6.65912349884724697e-02,1.17538624077935555e-01,4.88451484503178601e-01,1.03607912312341711e+02,1.31670700955504955e-01,5.22692045584683185e-01,3.27310854847368275e-04,3.49675693641504637e-03,3.96077057090769946e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,0,0,0
20,7.14574924667399081e-02,1.17236124075458970e-01,6.65912349884724697e-02,1.17538624077935555e-01,4.88451484503178601e-01,1.03607912312341711e+02,1.31670700955504955e-01,5.22692045584683185e-01,3.27310854847368275e-04,3.49675693641504637e-03,3.96077057090769946e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,0,1,1
21,7.14574924667399081e-02,1.17236124075458970e-01,6.65912349884724697e-02,1.17538624077935555e-01,4.88451484503178601e-01,1.03607912312341711e+02,1.31670700955504955e-01,5.22692045584683185e-01,3.27310854847368275e-04,3.49675693641504637e-03,3.96077057090769946e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,0,0,0
22,7.14574924667399081e-02,1.17236124075458970e-01,6.65912349884724697e-02,1.17538624077935555e-01,4.88451484503178601e-01,1.03607912312341711e+02,1.31670700955504955e-01,5.22692045584683185e-01,3.27310854847368275e-04,3.49675693641504637e-03,3.96077057090769946e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,0,0,0
23,7.14574924667399081e-02,1.17236124075458970e-01,6.65912349884724697e-02,1.17538624077935555e-01,4.88451484503178601e-01,1.03607912312341711e+02,1.31670700955504955e-01,5.22692045584683185e-01,3.27310854847368275e-04,3.49675693641504637e-03,3.96077057090769946e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,0,0,0
24,7.14574924667399081e-02,1.17236124075458970e-01,6.65912349884724697e-02,1.17538624077935555e-01,4.88451484503178601e-01,1.03607912312341711e+02,1.31670700955504955e-01,5.22692045584683185e-01,3.27310854847368275e-04,3.49675693641504637e-03,3.96077057090769946e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,0,0,0
25,7.14574924667399081e-02,1.17236124075458970e-01,6.65912349884724697e-02,1.17538624077935555e-01,4.88451484503178601e-01,1.03607912312341711e+02,1.31670700955504955e-01,5.22692045584683185e-01,3.27310854847368275e-04,3.49675693641504637e-03,3.96077057090769946e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,0,1,0
26,7.14574924667399081e-02,1.17236124075458970e-01,6.65912349884724697e-02,1.17538624077935555e-01,4.88451484503178601e-01,1.03607912312341711e+02,1.31670700955504955e-01,5.22692045584683185e-01,3.27310854847368275e-04,3.49675693641504637e-03,3.96077057090769946e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,0,0,0
27,7.14574924667399081e-02,1.17236124075458970e-01,6.65912349884724697e-02,1.17538624077935555e-01,4.88451484503178601e-01,1.03607912312341711e+02,1.31670700955504955e-01,5.22692045584683185e-01,3.27310854847368275e-04,3.49675693641504637e-03,3.96077057090769946e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,0,0,0
28,7.14574924667399081e-02,1.17236124075458970e-01,6.65912349884724697e-02,1.17538624077935555e-01,4.88451484503178601e-01,1.03607912312341711e+02,1.31670700955504955e-01,5.22692045584683185e-01,3.27310854847368275e-04,3.49675693641504637e-03,3.96077057090769946e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,0,0,0
29,7.14574924667399081e-02,1.17236124075458970e-01,6.65912349884724697e-02,1.17538624077935555e-01,4.88451484503178601e-01,1.03607912312341711e+02,1.31670700955504955e-01,5.22692045584683185e-01,3.27310854847368275e-04,3.49675693641504637e-03,3.96077057090769946e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,0,0,0
30,7.14574924667399081e-02,1.17236124075458970e-01,6.65912349884724697e-02,1.17538624077935555e-01,4.88451484503178601e-01,1.03607912312341711e+02,1.31670700955504955e-01,5.22692045584683185e-01,3.27310854847368275e-04,3.49675693641504637e-03,3.96077057090769946e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,0,1,1
31,7.14574924667399081e-02,1.17236124075458970e-01,6.65912349884724697e-02,1.17538624077935555e-01,4.88451484503178601e-01,1.03607912312341711e+02,1.31670700955504955e-01,5.22692045584683185e-01,3.27310854847368275e-04,3.49675693641504637e-03,3.96077057090769946e+00,3.28147878231632433e+01,3.28147878231632433e+01,0.00000000000000000e+00,0,0,0
