cycle,block_name,Delta_Theta_sum,Delta_Theta_shape,Delta_Theta_NM,Delta_B_rms,Delta_du_rms,Delta_U_overlap,accepted
142,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
143,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
143,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
144,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
144,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
145,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
145,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
145,box,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
146,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
146,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
147,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
